Cpe	NM_013494
Cst3	NM_009976
Tuba1a	NM_011653
Cox8a	NM_007750
Rplp1	NM_018853
Ubb	NM_001313984
Fth1	NM_010239
Rps29	NM_009093
Pcp4	NM_008791
Rps27rt	NM_001190258
Rpl41	NM_018860
Rpl23a	NM_207523
Cfl1	NM_007687
Tuba1b	NM_011654
Slc25a4	NM_007450
Ndufa4	NM_010886
Cox6b1	NM_025628
Myl6	NM_001317217
Rpl17	NM_001002239
Itm2b	NM_008410
Mif	NM_010798
Gabarapl1	NM_020590
Ndfip1	NM_001355749
Aplp1	NM_007467
Pgam1	NM_023418
Rpl32	NM_172086
Rpl36	NM_018730
Ndufb9	NM_001364808
Chchd2	NM_024166
Rps3a1	NM_016959
Scd2	NM_009128
Cox7a2	NM_009945
Tubb3	NM_023279
Bex2	NM_009749
Kif5a	NM_001039000
Uqcr10	NM_001047158
Tubb4b	NM_146116
Nap1l5	NM_021432
Basp1	NM_027395
Tmsb10	NM_001039392
Rpl4	NM_024212
Rpsa	NM_011029
Cox5a	NM_007747
Atp5e	NM_025983
Camk2n1	NM_025451
Slc25a5	NM_007451
Uqcrb	NM_026219
Calr	NM_007591
Grina	NM_023168
Mrfap1	NM_026242
Dynll1	NM_019682
Hint1	NM_008248
Rps13	NM_026533
Scg5	NM_009162
Atp6v0e2	NM_001347164
Hsbp1	NM_024219
Lamp1	NM_001317353
Rpl24	NM_024218
Timm8b	NM_013897
Tspyl4	NM_030203
Dpysl2	NM_001378767
Ddn	NM_001013741
Sptbn2	NM_021287
Chgb	NM_007694
Rps12	NM_001407441
Marcksl1	NM_010807
Eid1	NM_025613
Ndufa1	NM_019443
Map1b	NM_008634
Atp6ap2	NM_027439
Atp6v0d1	NM_013477
Ppp1ca	NM_031868
Hmgcs1	NM_001291439
Cplx2	NM_001362218
Fbxl16	NM_001164225
Chchd10	NM_175329
Ndufc2	NM_024220
Ndufa6	NM_025987
Rpl39	NM_026055
6330403K07Rik	NM_134022
Atp6v1c1	NM_025494
Gpi1	NM_008155
Brk1	NM_133937
Gstp1	NM_013541
Ndufa2	NM_010885
Dstn	NM_019771
Cox7b	NM_025379
Ppib	NM_011149
Ndufa11	NM_027244
Psmb7	NM_011187
Vcp	NM_009503
Rps7	NM_011300
Cadm4	NM_153112
Map2k1	NM_001410474
Impact	NM_001357396
Reep5	NM_007874
Cnih2	NM_001302333
Rpl36al	NM_025589
Enc1	NM_007930
Scamp5	NM_001301634
Pfn1	NM_011072
Rhob	NM_007483
Rps26	NM_013765
Itfg1	NM_028007
Got2	NM_010325
Mtpn	NM_008098
Grcc10	NM_013535
Purb	NM_011221
Psmb6	NM_008946
Rnasek	NM_173742
Rpl23	NM_022891
Syngr3	NM_011522
Atxn7l3b	NM_001033474
Ndufb7	NM_025843
Psmb5	NM_011186
Ahsa1	NM_146036
Fabp3	NM_010174
Hspe1	NM_008303
Ndufa8	NM_026703
Ctsb	NM_007798
Emc4	NM_026519
Uqcrfs1	NM_025710
Hacd3	NM_021345
Tma7	NM_183250
Chga	NM_007693
Rps20	NM_026147
Nsg1	NM_001359090
Ndufs8	NM_001271443
Hprt	NM_013556
Higd2a	NM_025933
Cct2	NM_001358767
Laptm4a	NM_008640
Klf9	NM_010638
Taldo1	NM_011528
Actr1a	NM_001365070
Sh3bgrl3	NM_080559
Ctxn1	NM_183315
Scg3	NM_001164790
Rps23	NM_024175
Atp6v1g1	NM_024173
Tubb2b	NM_023716
Cs	NM_026444
D8Ertd738e	NM_001007571
Tomm20	NM_024214
Actr2	NM_001362899
Psmb3	NM_011971
Rpl37	NM_026069
Scg2	NM_001310680
B2m	NM_009735
Isca1	NM_026921
Bnip3	NM_009760
Psmb2	NM_011970
Saraf	NM_026432
Necap1	NM_026267
Tbca	NM_009321
Nudt4	NM_001358996
Ndufs6	NM_010888
Eif1b	NM_026892
Gabarapl2	NM_026693
Sdhd	NM_025848
Ndufb3	NM_025597
Rpl37rt	NM_001271590
Ankrd46	NM_001358006
Nudc	NM_010948
Jund	NM_001286944
Snn	NM_009223
Rcn2	NM_001278274
Ppp2ca	NM_019411
Klhl2	NM_178633
Gng3	NM_010316
Cisd1	NM_134007
Arl6ip5	NM_022992
Syt4	NM_009308
Mpc2	NM_027430
Prelid1	NM_025596
Vps41	NM_172120
Txn1	NM_011660
Coa3	NM_026618
Dynlt3	NM_025975
Diras2	NM_001024474
Atf4	NM_001287180
Sap18b	NM_001142441
Cyc1	NM_025567
Smim13	NM_001135577
Dnaja2	NM_019794
Rab5a	NM_025887
Cfdp1	NM_001368335
Ncs1	NM_019681
Mrpl42	NM_001359476
Tspyl1	NM_009433
Chmp5	NM_029814
Eif3e	NM_008388
Trnp1	NM_001081156
Reep2	NM_001204914
Ube2s	NM_133777
Tsnax	NM_016909
Tmem179	NM_178915
Marcks	NM_008538
Btbd1	NM_146193
Etnk1	NM_029250
Klhl9	NM_172871
Chmp2a	NM_001360730
Ppa1	NM_026438
Fads2	NM_019699
Wdr6	NM_031392
Mrpl41	NM_001031808
Syt5	NM_001360421
Dkk3	NM_001360257
Dcaf7	NM_027946
B4gat1	NM_175383
Fam171b	NM_175514
Sec62	NM_001357528
Rtcb	NM_145422
Mien1	NM_025559
Dad1	NM_001113358
Smim10l1	NM_001163445
Dync1li2	NM_001013380
B3gat3	NM_024256
Mrps21	NM_001355759
Psmd6	NM_025550
Hars	NM_008214
Rab1b	NM_029576
Tmem38a	NM_001357278
Ube2d2a	NM_019912
Hspa12a	NM_001327998
Ppm1e	NM_177167
Syne1	NM_001079686
Fads1	NM_146094
Ncan	NM_007789
Glrx3	NM_001348093
Magee1	NM_053201
Acot13	NM_025790
Stx1b	NM_024414
Rab5b	NM_011229
Ndufs4	NM_010887
Efhd2	NM_025994
Clec2l	NM_001101507
Bex1	NM_009052
Tkt	NM_009388
Mapk8ip2	NM_021921
Camk4	NM_009793
Tomm5	NM_001099675
Serbp1	NM_001113564
Ddost	NM_007838
Ank	NM_020332
Slc39a10	NM_001356416
Degs1	NM_001360783
Polr2g	NM_026329
BC031181	NM_001001181
Rnf7	NM_001311135
Tm2d2	NM_027194
Praf2	NM_138602
Shisa4	NM_175259
Ik	NM_011879
Sar1b	NM_025535
Eif1ax	NM_025437
Bcap31	NM_001313698
Psmc2	NM_001368661
Emc2	NM_025736
Ndufb4	NM_026610
Scarb2	NM_007644
Ina	NM_146100
Cd9	NM_007657
Arl8b	NM_026011
Kctd13	NM_172747
Lamtor5	NM_026774
Lcmt1	NM_001355050
Snrpe	NM_009227
Ttc9b	NM_028417
Pten	NM_008960
Tmed9	NM_026211
Clns1a	NM_023671
Stx7	NM_001358563
Ap3d1	NM_007460
Tomm7	NM_025394
Ipo7	NM_001362172
Srp9	NM_012058
Nptx1	NM_008730
H1f0	NM_008197
Rraga	NM_178376
Uba52	NM_001348227
Gpx1	NM_001329527
Mtfp1	NM_026443
Clptm1l	NM_146047
Pygb	NM_153781
Arxes2	NM_029823
Emc3	NM_175101
Asrgl1	NM_025610
Pfdn1	NM_026027
Stx12	NM_133887
Trappc3	NM_013718
Mrps12	NM_001360250
Ppp6r1	NM_172894
Cct7	NM_007638
Cnrip1	NM_029861
Fam216a	NM_026883
Phyh	NM_010726
Akirin2	NM_001007589
Tusc2	NM_019742
Klhl11	NM_172565
Pdcd6	NM_001359996
Camk2n2	NM_028420
Psmc6	NM_001416015
Ccdc124	NM_026964
Ost4	NM_001134692
Golph3	NM_025673
Cnr1	NM_001355020
Sod2	NM_013671
Copb2	NM_015827
Prdx3	NM_007452
Rer1	NM_001362981
Psmd7	NM_010817
Timm13	NM_013895
Cdipt	NM_001347656
Slc48a1	NM_026353
Eif3l	NM_145139
Atp1b3	NM_001357212
Lgi3	NM_145219
Cdk5r2	NM_009872
Maea	NM_021500
Ap3m2	NM_001122820
Kpnb1	NM_008379
Lmtk2	NM_001081109
Elof1	NM_001357309
Gnaz	NM_001358848
Rnf208	NM_176834
Laptm4b	NM_033521
Rpl35	NM_025592
Alg2	NM_001355496
Snrpd1	NM_009226
Lingo1	NM_001311076
Tmem14c	NM_001360770
Enho	NM_027147
Ostc	NM_025509
Elavl3	NM_010487
Gdap1	NM_010267
Vat1l	NM_173016
Dusp6	NM_026268
Pafah1b2	NM_001357238
Nop10	NM_025403
Chmp2b	NM_026879
Junb	NM_008416
Rpn1	NM_133933
Dact3	NM_001081655
Fxr2	NM_011814
Fmc1	NM_025363
Dgat2	NM_026384
Cfl2	NM_007688
Dctn5	NM_021608
Epdr1	NM_134065
Hnrnpa0	NM_029872
Atad1	NM_026487
Tmem65	NM_175212
Amd1	NM_009665
Psenen	NM_001364016
Fam120a	NM_001033268
Eif3a	NM_010123
Cycs	NM_007808
Rprd1a	NM_001360807
Dhcr24	NM_053272
Plcl2	NM_013880
Tgoln1	NM_009443
Pura	NM_008989
Cmpk1	NM_025647
Mgat3	NM_010795
Cyb5b	NM_025558
Abce1	NM_015751
Ddx17	NM_001040187
Tmem151b	NM_001013749
Clpp	NM_017393
Snrpd2	NM_026943
Bbip1	NM_001195338
Tmem158	NM_001002267
Kcnh3	NM_010601
Fam8a1	NM_001033192
Egr1	NM_007913
Tpgs1	NM_148934
Fbxo2	NM_176848
Pin4	NM_001365090
Mrpl57	NM_026401
Cstf2t	NM_031249
Ak3	NM_001365071
Slc38a2	NM_001355633
Lrrc59	NM_133807
B3galnt1	NM_001410637
Slc8a2	NM_001347561
Zfp706	NM_026521
Sarnp	NM_001359403
Srxn1	NM_029688
Mrpl34	NM_053162
Cyp51	NM_020010
Ogdhl	NM_001081130
Spcs2	NM_025668
Adh5	NM_001288578
Rprml	NM_001033212
Ptp4a1	NM_011200
Clic4	NM_013885
Snx2	NM_001357463
Vamp3	NM_009498
Nicn1	NM_001364505
Arhgef17	NM_001081116
Gna11	NM_010301
Ranbp2	NM_011240
Gabrd	NM_008072
Ehd3	NM_020578
Pet100	NM_001195244
Eif3f	NM_025344
Cntnap1	NM_016782
Mrps26	NM_207207
Mea1	NM_001277309
Pcbp1	NM_011865
Snx32	NM_001024560
Lamtor3	NM_019920
Lysmd2	NM_027309
Prps1	NM_021463
Gnaq	NM_008139
Adss	NM_007422
Nomo1	NM_153057
Acat1	NM_144784
Nmt1	NM_008707
Txnl1	NM_016792
Smim12	NM_030252
Dnajc18	NM_029669
Ube2n	NM_080560
Slc27a4	NM_011989
Chchd1	NM_025366
Rala	NM_019491
Rab24	NM_009000
Ddx50	NM_001358819
Arl5a	NM_182994
Pip4k2b	NM_054051
Cby1	NM_028634
Agpat4	NM_026644
Etf1	NM_144866
Gcsh	NM_026572
Exoc3	NM_177333
Elp3	NM_001253812
Diras1	NM_145217
Nudt19	NM_033080
Cstb	NM_007793
Hspbp1	NM_001360629
Ube3c	NM_133907
Emc6	NM_001168470
Abhd17b	NM_146096
Rap1b	NM_024457
Nipa1	NM_153578
Rims4	NM_001376942
Top1	NM_001413148
Josd1	NM_028792
Trappc10	NM_001081055
Scd1	NM_009127
Faim2	NM_001038658
Ccny	NM_026484
Plat	NM_008872
Dynlt1b	NM_009342
Actr10	NM_019785
Ttc7b	NM_001033213
Arf6	NM_007481
D430019H16Rik	NM_001252508
Higd1a	NM_001357837
Ist1	NM_001361562
Lamtor4	NM_001081108
BC029722	NM_001384169
Coprs	NM_001359059
Mfsd14a	NM_001410014
Glrx	NM_001360151
Gsto1	NM_010362
Vapb	NM_019806
Akap6	NM_198111
Ndufaf5	NM_027093
Bola2	NM_175103
Tomm22	NM_172609
Lin7c	NM_011699
Cenpb	NM_007682
Mrpl11	NM_025553
Ptdss1	NM_008959
Ube2o	NM_173755
Syf2	NM_026780
Mrpl54	NM_025317
Manbal	NM_026968
Sgta	NM_001358549
Csdc2	NM_145473
Ccng1	NM_009831
Smarcd1	NM_001411993
Ier5	NM_010500
Fkbp1b	NM_001378816
C1qbp	NM_007573
Bub3	NM_001317350
Hsd17b4	NM_008292
Fam171a2	NM_199200
Polb	NM_011130
Gm14325	NM_001024849
Ccdc12	NM_028312
Coq2	NM_027978
Lrrn3	NM_001271708
Bpgm	NM_001363708
Hexa	NM_001410424
Txndc17	NM_026559
Hspa2	NM_001002012
Olfm2	NM_001357635
Cdc42bpb	NM_183016
Wrnip1	NM_030215
Paqr4	NM_023824
Apoo	NM_001199337
Ormdl3	NM_025661
Spry2	NM_011897
Nsa2	NM_021552
Ddit4	NM_029083
Epm2aip1	NM_175266
Pdzd8	NM_001033222
Prr7	NM_001030296
Lrrc8b	NM_001033550
Dctn4	NM_001357462
C1d	NM_001330649
Prkag1	NM_001411575
Magoh	NM_001282737
Bccip	NM_025392
Eef1akmt1	NM_026526
Cfap20	NM_008187
Cnpy2	NM_019953
Smap2	NM_133716
Trib2	NM_144551
Ier3ip1	NM_025409
Odc1	NM_001409623
Bbs4	NM_001359558
Polr2b	NM_153798
Stoml1	NM_026942
Rrn3	NM_001039521
Ap1ar	NM_001346718
Eid2	NM_198425
Bloc1s2	NM_028607
Ugcg	NM_011673
Rab18	NM_001278447
Hpcal1	NM_001361645
Pcdhgc3	NM_033581
Gdpd1	NM_025638
Ccar2	NM_146055
B4galt6	NM_019737
Pip4k2c	NM_001359280
Dhx36	NM_028136
Aacs	NM_030210
Maz	NM_001372521
Fbll1	NM_001004147
Ssbp4	NM_001372468
Nacc1	NM_025788
Ttyh3	NM_001308039
Rexo2	NM_001357501
Nr4a1	NM_001411253
Lman2	NM_025828
Sdhaf4	NM_026503
Mettl9	NM_021554
Emc7	NM_133749
Leprotl1	NM_026609
Ganab	NM_001293621
Ctps	NM_001355491
Nefh	NM_010904
Ddt	NM_010027
Atg101	NM_026566
Gpc1	NM_016696
Sf3b6	NM_025323
Hey1	NM_010423
Creg2	NM_170597
Alyref	NM_011568
Dnajc3	NM_008929
Hnrnpul2	NM_001081196
Ppm1k	NM_175523
Actr8	NM_027493
Ncbp1	NM_001033201
Ado	NM_001005419
Brms1l	NM_001037756
Supt6	NM_009297
Marf1	NM_001081154
Soga3	NM_026138
Hgsnat	NM_029884
Fzd3	NM_021458
Caml	NM_007596
Ube2z	NM_172300
Txndc12	NM_025334
Ypel5	NM_001357368
Smim15	NM_001048250
Narf	NM_026272
Mtmr9	NM_177594
Sptssa	NM_134054
Ppp1r21	NM_028658
Irgq	NM_153134
Sephs2	NM_009266
Ddx42	NM_001361640
Mrps25	NM_025578
Polr2l	NM_025593
Ankmy2	NM_146033
Derl1	NM_024207
Slc16a1	NM_009196
Fjx1	NM_010218
Gfod1	NM_001033399
Klhl24	NM_029436
Fam13b	NM_146084
Apmap	NM_001356491
Osbpl2	NM_144500
Srebf2	NM_001411792
Ssna1	NM_023464
Yeats4	NM_026570
Etfb	NM_026695
Rab39b	NM_175122
Pank3	NM_145962
Cacng7	NM_133189
Cpd	NM_007754
5730409E04Rik	NM_001013755
Rnaset2b	NM_026611
9130401M01Rik	NM_029418
Pgrmc2	NM_027558
Cox20	NM_025511
Ptcd2	NM_026873
Fam91a1	NM_001416207
Cmtm4	NM_153582
Gpr22	NM_175191
Tmx3	NM_198295
Pigyl	NM_001082532
Zfp445	NM_001359934
Klhl23	NM_001360394
Bckdha	NM_001403510
Ppp4c	NM_001360464
Gns	NM_001364695
Noc2l	NM_001369270
Mfap1b	NM_001081975
Wdr48	NM_026236
Rhobtb2	NM_153514
Ccdc25	NM_145944
Pin1	NM_001364495
Cggbp1	NM_001357416
Ptcd3	NM_001362068
Tmem70	NM_026392
Ppp4r2	NM_182939
Mex3c	NM_001039214
Ptges2	NM_133783
Phlda3	NM_013750
Bmpr2	NM_007561
Vat1	NM_012037
Acyp2	NM_029344
Mrpl51	NM_025595
Atg3	NM_001356366
Igbp1	NM_008784
Nprl2	NM_018879
Phlpp1	NM_133821
Arfgef3	NM_001033258
Id3	NM_008321
Avpi1	NM_027106
Ctnna1	NM_009818
Irf2bpl	NM_145836
Gm2a	NM_010299
Sesn3	NM_030261
Mageh1	NM_023788
Cygb	NM_030206
Lpcat4	NM_207206
Thap11	NM_021513
Aggf1	NM_025630
Coa5	NM_198006
Dcaf5	NM_001364324
Cox16	NM_001309808
Rbm4	NM_001290122
Gm13889	NM_001145034
Rars	NM_025936
Hs6st1	NM_015818
Xpot	NM_001081056
Cenpv	NM_028448
Fbxo25	NM_001347316
Uqcc3	NM_001160356
Supt16	NM_033618
Spast	NM_001162870
Baz1b	NM_011714
Mrpl46	NM_023331
Rapgefl1	NM_001080925
Jun	NM_010591
Thumpd1	NM_145585
Zfp771	NM_001360916
Bzw2	NM_025840
Slc25a17	NM_011399
Polr2d	NM_001357480
