WT,DL-Brain,Commercial tool,URC,BFC
0.5815,0.5732,0.514,0.5014,0.5278
0.4829,0.5715,0.5293,0.4925,0.5428
0.5208,0.5397,0.482,0.4495,0.4889
0.5796,0.5939,0.5331,0.5114,0.5336
0.5705,0.5688,0.5046,0.4766,0.5042
0.5048,0.576,0.5351,0.5156,0.544
0.4878,0.5127,0.4769,0.472,0.515
0.4125,0.5371,0.4856,0.4828,0.4856
0.4987,0.5533,0.4855,0.4598,0.4784
0.4647,0.5657,0.5021,0.4723,0.4979
0.4075,0.5287,0.4763,0.4286,0.4845
0.4954,0.5594,0.4852,0.4585,0.5116
0.5979,0.6331,0.6035,0.5807,0.6303
0.4852,0.5304,0.5048,0.4977,0.517
0.4981,0.5508,0.4961,0.484,0.4995
0.6012,0.6041,0.5558,0.525,0.5331
0.5979,0.5951,0.5534,0.5277,0.5542
0.6047,0.5845,0.5324,0.4989,0.5418
0.596,0.6146,0.5459,0.5249,0.5548
0.5601,0.5696,0.5246,0.5051,0.5416
0.5723,0.5676,0.5212,0.4747,0.54
0.5382,0.5335,0.4841,0.4671,0.4731
0.4758,0.5225,0.4737,0.4687,0.4618
0.5669,0.5945,0.5357,0.4907,0.536
0.4687,0.5461,0.4866,0.4721,0.503
0.5307,0.5351,0.5421,0.5053,0.4588
0.5644,0.5881,0.5424,0.5107,0.53
0.4433,0.5265,0.4772,0.4679,0.4875
0.49,0.5524,0.4969,0.4693,0.5054
0.598,0.5666,0.5297,0.4962,0.5426
0.564,0.5636,0.4967,0.4593,0.5052
0.524,0.5817,0.5119,0.4791,0.5213
0.62,0.6036,0.5586,0.5463,0.5507
0.776,0.6959,0.6554,0.6632,0.6585
0.4602,0.5653,0.4923,0.4618,0.511
