Eef1a1	NM_010106
Ftl1	NM_010240
Hsp90ab1	NM_008302
Actb	NM_007393
Eef2	NM_007907
Hspa8	NM_001364480
Fth1	NM_010239
Rplp0	NM_007475
Rps2	NM_008503
Clu	NM_013492
Rpl13a	NM_009438
Atp5b	NM_016774
Rpl41	NM_018860
Rpl4	NM_024212
Selenop	NM_001042613
Cfl1	NM_007687
Aldoa	NM_001177307
Pabpc1	NM_008774
Rps9	NM_029767
Prdx1	NM_011034
C3	NM_009778
Rpl7	NM_011291
Eif4g2	NM_001040131
Ldha	NM_001136069
Rpl7a	NM_013721
Ly6e	NM_001164036
Ybx1	NM_011732
Trf	NM_133977
Rpl8	NM_012053
Rps15	NM_001310726
Rps11	NM_013725
Calr	NM_007591
Ubb	NM_001313984
Tmbim6	NM_001171034
Tmem176b	NM_001164207
Rps5	NM_001417226
Krt18	NM_010664
Gc	NM_008096
Rps3	NM_012052
Krt8	NM_031170
Slc25a5	NM_007451
Rpl32	NM_172086
Ppp1ca	NM_031868
Rack1	NM_008143
P4hb	NM_011032
Tpi1	NM_009415
Rpl14	NM_025974
Hspa9	NM_010481
Cd81	NM_133655
Ctsd	NM_009983
Eif5a	NM_001166589
Pdia3	NM_007952
Nedd4	NM_001039251
Ywhae	NM_009536
Cox8a	NM_007750
B2m	NM_009735
Hsp90b1	NM_011631
Pfn1	NM_011072
Ptms	NM_026988
Rps14	NM_020600
Cp	NM_001042611
Atp5a1	NM_007505
Uba1	NM_001136085
Ddx5	NM_001355676
Gpi1	NM_008155
Eif3h	NM_080635
Bsg	NM_001077184
Hspa5	NM_001163434
Hspd1	NM_001356512
Gsto1	NM_010362
H3f3b	NM_008211
Rps26	NM_013765
Eif1	NM_011508
Ubc	NM_019639
Lamp1	NM_001317353
Mdh2	NM_008617
Cfb	NM_001142706
Eif4b	NM_145625
Calm2	NM_001355703
Dap	NM_146057
Cox7b	NM_025379
Cox6b1	NM_025628
Akr1a1	NM_021473
Cox4i1	NM_001293559
Rbp4	NM_001159487
Gnas	NM_001077507
Tmem176a	NM_001098271
Tcp1	NM_001290712
Rpl35	NM_025592
Igfbp4	NM_010517
Aco2	NM_080633
Pcbp2	NM_001103165
Eif4g1	NM_001005331
Itm2b	NM_008410
Glud1	NM_008133
Arpc2	NM_001357387
Acsl5	NM_027976
Sqstm1	NM_001290769
Atp1a1	NM_144900
Hdlbp	NM_001301364
Canx	NM_001110499
Sdha	NM_023281
Psmd8	NM_026545
Prdx5	NM_001358444
Fads2	NM_019699
Mif	NM_010798
Dazap2	NM_011873
Sec61a1	NM_016906
Hdgf	NM_001331051
Rab7	NM_001293652
Cald1	NM_001347100
Capns1	NM_009795
Cat	NM_009804
Slc25a3	NM_133668
Gabarap	NM_019749
Ctsz	NM_022325
Plin2	NM_001403711
Psap	NM_001146120
Stard10	NM_001360460
Habp2	NM_001329935
Hint1	NM_008248
Hnrnpab	NM_001048061
Prdx6	NM_001303408
Hpx	NM_017371
Vdac1	NM_001362693
Cox5b	NM_009942
Cox6a1	NM_007748
Arl6ip1	NM_019419
Fads1	NM_146094
Fn1	NM_001276408
Pttg1ip	NM_145925
Lamp2	NM_001017959
Slc25a39	NM_026542
Calm1	NM_001313934
Cnbp	NM_001109745
Col18a1	NM_001109991
Mlf2	NM_001170341
Grn	NM_008175
Ndufa4	NM_010886
Dbi	NM_001037999
Serinc1	NM_019760
Gnb2	NM_010312
Rac1	NM_001347530
Rhoa	NM_001313961
Ctsl	NM_009984
Ndufb8	NM_001347447
H1f0	NM_008197
Rps27l	NM_001311101
Atp5g3	NM_001301721
S100a10	NM_009112
Uqcrc2	NM_025899
Cd164	NM_016898
Paics	NM_001356971
Pgrmc1	NM_016783
Mt1	NM_013602
Atf4	NM_001287180
Ctsb	NM_007798
Grina	NM_023168
St13	NM_133726
Pcbp1	NM_011865
Arf4	NM_007479
Fkbp4	NM_010219
Gclc	NM_010295
Atp5c1	NM_001112738
Tecr	NM_027179
Zfp36l1	NM_007564
Dstn	NM_019771
Cst3	NM_009976
Rpn2	NM_001355163
Aplp2	NM_001102455
Gdi2	NM_008112
Cyb5a	NM_001348159
Ghitm	NM_001199122
Arpc3	NM_019824
Aars	NM_146217
Ifitm2	NM_030694
Esd	NM_001285423
Pdia4	NM_001368756
Gstm1	NM_001374678
Tspan31	NM_025982
Phb2	NM_007531
Rnf10	NM_001302448
Ssr3	NM_026155
Eif5	NM_173363
Got2	NM_010325
Cnn3	NM_028044
Osgin1	NM_027950
Id2	NM_010496
Rab1b	NM_029576
Cox7a2	NM_009945
Atp5d	NM_001347092
Ndufa6	NM_025987
Atp5h	NM_027862
H6pd	NM_001291004
Wbp2	NM_001347642
Uqcrc1	NM_025407
Csnk2b	NM_001303445
Rab5c	NM_001305003
Fkbp8	NM_001111066
Ndufs2	NM_153064
Ebp	NM_007898
