Tnnt3	NM_001163664
Tpm1	NM_001164248
Mylpf	NM_001347655
Ckm	NM_007710
Myh4	NM_010855
Tnni2	NM_009405
Pvalb	NM_001330686
Myl1	NM_001113387
Aldoa	NM_001177307
Slc25a4	NM_007450
Atp2a1	NM_007504
Mb	NM_001164047
Tpm2	NM_001277875
Eno3	NM_001136062
Myh1	NM_030679
Casq1	NM_009813
Pgam2	NM_018870
Actn3	NM_013456
Pygm	NM_011224
Neb	NM_010889
Ckmt2	NM_198415
Atp5b	NM_016774
Tcap	NM_011540
Car3	NM_007606
Pfkm	NM_001163487
Mybpc2	NM_146189
Ttn	NM_001385708
Mybpc1	NM_001252372
Ankrd23	NM_001310521
Atp5a1	NM_007505
Pkm	NM_001253883
H19	NM_023123
Myot	NM_001033621
Vdac1	NM_001362693
Myoz1	NM_021508
Fhl1	NM_001077361
Xirp2	NM_001024618
Ak1	NM_001198790
Ndufb9	NM_001364808
Ldha	NM_001136069
Des	NM_010043
Cox6b1	NM_025628
Atp5c1	NM_001112738
Ybx3	NM_011733
Ndrg2	NM_001145959
Cox7a1	NM_001412271
Ndufa5	NM_001311068
Actn2	NM_033268
Pdha1	NM_008810
Cox6c	NM_053071
Actc1	NM_009608
Ndufb10	NM_026684
Cox7b	NM_025379
Uqcrh	NM_025641
Cmya5	NM_023821
Ccng1	NM_009831
Myom2	NM_001414182
Trdn	NM_001364696
Pde4dip	NM_001039376
Hsp90ab1	NM_008302
Cox6a2	NM_009943
Rplp1	NM_018853
Nrap	NM_001286552
Ndufs2	NM_153064
Myom1	NM_001083934
Pdlim5	NM_001190852
Fabp4	NM_001409513
Csde1	NM_001161854
Fth1	NM_010239
Ndufa4	NM_010886
Ldb3	NM_001039071
Hrc	NM_010473
Sdha	NM_023281
Srl	NM_001347162
Tpi1	NM_009415
Aco2	NM_080633
Cox8b	NM_007751
Ugp2	NM_001290634
Sh3bgr	NM_015825
Sucla2	NM_001361638
Ptp4a2	NM_001164745
Atp5e	NM_025983
Pgm2	NM_001356964
Sparc	NM_001290817
Atp5j	NM_001302213
Klhl41	NM_001081087
Cryab	NM_001289782
Eef1a2	NM_007906
Tmem38a	NM_001357278
Sdhb	NM_001355515
Atp5k	NM_007507
Uqcrfs1	NM_025710
Ndufv2	NM_001278415
Uqcrc1	NM_025407
Ndufa6	NM_025987
Fxr1	NM_001113188
Ndufs1	NM_001160038
Ampd1	NM_001033303
Bsg	NM_001077184
Chchd3	NM_001355667
Idh3a	NM_029573
Ndufb5	NM_025316
Ryr1	NM_009109
Atp1a2	NM_178405
Capza2	NM_007604
Mlf1	NM_001039543
Abra	NM_175456
Ndufb8	NM_001347447
Col3a1	NM_009930
Cs	NM_026444
Mdh2	NM_008617
Hspb6	NM_001012401
Dcn	NM_001190451
Rtn2	NM_001025364
Rtn4	NM_024226
Cnbp	NM_001109745
Ndufv1	NM_133666
Klhl31	NM_172925
Adssl1	NM_007421
Mdh1	NM_001316675
Ndufa10	NM_024197
Uqcrc2	NM_025899
Txnip	NM_001009935
Mylk4	NM_001166030
Ndufa3	NM_025348
Park7	NM_020569
Zfp106	NM_009165
Tmod4	NM_016712
Myh2	NM_001039545
Ppp1r3c	NM_016854
Eef2	NM_007907
Rpl4	NM_024212
Fxyd1	NM_019503
Idh3b	NM_001362752
Tmsb4x	NM_021278
Atp5g3	NM_001301721
Sdhd	NM_025848
Txlnb	NM_138628
Chchd10	NM_175329
Mylk2	NM_001081044
Suclg1	NM_019879
Dld	NM_007861
Idh3g	NM_001356356
Gpd1	NM_010271
Hspa9	NM_010481
Tfrc	NM_001357298
Ndufa9	NM_025358
Slc25a3	NM_133668
Cul3	NM_001313728
Mef2c	NM_001170537
Gsn	NM_001206367
Apobec2	NM_009694
Pkia	NM_001410515
Cfl2	NM_007688
Ppp1r3a	NM_080464
Sqstm1	NM_001290769
Phka1	NM_008832
Oxct1	NM_024188
Cd36	NM_001159555
Col1a1	NM_007742
Kif1b	NM_001290995
Acadvl	NM_017366
Pdk4	NM_013743
Cox5a	NM_007747
Col1a2	NM_007743
Sar1b	NM_025535
Acot13	NM_025790
Lamp1	NM_001317353
Slc25a12	NM_172436
Ctsd	NM_009983
Ube2b	NM_001362685
Slc2a4	NM_001359114
Phkg1	NM_011079
Ppp1cb	NM_172707
Mbnl1	NM_001253708
Laptm4a	NM_008640
Tuba4a	NM_001313723
Calm1	NM_001313934
Ndufs4	NM_010887
Cyc1	NM_025567
Got1	NM_010324
Uqcr10	NM_001047158
Rab10	NM_016676
Dlst	NM_030225
Uqcrb	NM_026219
Scn1b	NM_001402334
Sdhc	NM_025321
Fh1	NM_010209
Cacna1s	NM_001081023
Nudt4	NM_001358996
Hk2	NM_013820
S100a1	NM_011309
Coq9	NM_026452
Pdlim3	NM_001374652
Fsd2	NM_172904
Chchd2	NM_024166
Ghitm	NM_001199122
Smpx	NM_001252591
