Gene Name,CpG Count,CpG Percentage
Ak3__a_dna.fasta,33,4.845814977973569
Aplp2__a_dna.fasta,121,5.363475177304965
Aqp1__a_dna.fasta,54,6.666666666666667
Arl8b__a_dna.fasta,28,4.991087344028521
Atf4__a_dna.fasta,76,7.238095238095238
Atp5f1c__a_dna.fasta,41,4.96969696969697
Cmya5__a_dna.fasta,638,5.783700480464146
Coq5__a_dna.fasta,45,4.573170731707317
Cpe__a_dna.fasta,85,5.93990216631726
Dnajb5__a_dna.fasta,82,6.492478226444972
Eif3b__a_dna.fasta,139,5.76285240464345
Ensa__a_dna.fasta,17,4.80225988700565
Fbxo40__a_dna.fasta,113,5.2977027660571965
Fin14__a_dna.fasta,7,3.763440860215054
Foxo4__a_dna.fasta,92,6.0606060606060606
Hrc__a_dna.fasta,132,5.953991880920163
Idh2__a_dna.fasta,73,5.371596762325239
Ipo13__a_dna.fasta,146,5.048409405255878
Itgb1bp2__a_dna.fasta,55,5.223171889838556
Jak1__a_dna.fasta,139,4.400126622348845
Jsrp1__a_dna.fasta,65,6.506506506506507
Kpna3__a_dna.fasta,80,5.108556832694764
Lamp1__a_dna.fasta,60,4.901960784313726
Lpl__a_dna.fasta,80,5.614035087719298
Lrrc20__a_dna.fasta,35,6.306306306306306
Lrrc2__a_dna.fasta,50,4.480286738351254
Mapk12__a_dna.fasta,61,5.776515151515151
Mbnl2__a_dna.fasta,73,6.506238859180035
Mllt11__a_dna.fasta,16,5.86080586080586
Mreg__a_dna.fasta,42,6.511627906976744
Myh8__a_dna.fasta,307,5.280357757137943
Myl1__a_dna.fasta,18,3.9735099337748347
Opa1__a_dna.fasta,160,5.447735784814436
Pdp1__a_dna.fasta,101,6.246134817563389
Pfkm__a_dna.fasta,143,6.103286384976526
Ppp1r2__a_dna.fasta,35,5.636070853462158
Psmd7__a_dna.fasta,42,4.3478260869565215
Qser1__a_dna.fasta,296,5.515185392211664
Rac1__a_dna.fasta,39,6.132075471698113
Scn4a__a_dna.fasta,301,5.446977922547956
Scn4b__a_dna.fasta,32,4.657933042212519
Sdha__a_dna.fasta,138,6.917293233082707
Tmem70__a_dna.fasta,49,6.405228758169934
Tob1__a_dna.fasta,47,4.315886134067952
Txlnb__a_dna.fasta,109,5.296404275996112
Uqcrc2__a_dna.fasta,85,6.240822320117474
