Gene Name,CpG Count,CpG Percentage
Aacs.fasta,8,0.396235760277365
Acat1.fasta,5,0.39215686274509803
Atp6v0d1.fasta,2,0.1893939393939394
B4gat1.fasta,6,0.4807692307692308
Cacng7.fasta,6,0.7246376811594203
Clns1a.fasta,3,0.4132231404958678
Eif1b.fasta,0,0.0
Emc2.fasta,0,0.0
Etnk1.fasta,5,0.4578754578754579
Fam91a1.fasta,6,0.25220680958385877
Hprt1.fasta,3,0.45662100456621
Lamp1.fasta,4,0.32679738562091504
Mea1.fasta,0,0.0
Mfap1b.fasta,2,0.15151515151515152
Mrpl41.fasta,0,0.0
Mrpl54.fasta,2,0.49019607843137253
Mtcl3.fasta,28,0.9866102889358703
Nptx1.fasta,4,0.30792917628945343
Nr4a1.fasta,11,0.6090808416389812
Pfn1.fasta,0,0.0
Pgam1.fasta,1,0.130718954248366
Pip4k2b.fasta,2,0.15987210231814547
Polr2g.fasta,0,0.0
Ppp6r1.fasta,5,0.19447685725398678
Psmd6.fasta,9,0.7692307692307693
Rpl41.fasta,0,0.0
Rpsa.fasta,3,0.33783783783783783
Sec62.fasta,3,0.24330900243309003
Sesn3.fasta,6,0.4056795131845842
Slc8a2.fasta,11,0.4002911208151383
Sptssa.fasta,0,0.0
Syne1.fasta,29,0.32104505701317393
Syngr3.fasta,6,0.8695652173913043
Trnp1.fasta,10,1.488095238095238
Ube3c.fasta,12,0.36900369003690037
