Symbol	Ensembl_ID	Genename	Refseq_ID
A2M	ENSG00000175899	alpha-2-macroglobulin	NM_000014
AGT	ENSG00000135744	angiotensinogen	NM_000029
APOA1	ENSG00000118137	apolipoprotein A1	NM_000039
APOC3	ENSG00000110245	apolipoprotein C3	NM_000040
APOE	ENSG00000130203	apolipoprotein E	NM_000041
APOH	ENSG00000091583	apolipoprotein H	NM_000042
BCHE	ENSG00000114200	butyrylcholinesterase	NM_000055
SERPING1	ENSG00000149131	serpin family G member 1	NM_000062
C2	ENSG00000166278	complement C2	NM_000063
C3	ENSG00000125730	complement C3	NM_000064
C6	ENSG00000039537	complement C6	NM_000065
C8B	ENSG00000021852	complement C8 beta chain	NM_000066
CETP	ENSG00000087237	cholesteryl ester transfer protein	NM_000078
COL1A1	ENSG00000108821	collagen type I alpha 1 chain	NM_000088
COL1A2	ENSG00000164692	collagen type I alpha 2 chain	NM_000089
COL3A1	ENSG00000168542	collagen type III alpha 1 chain	NM_000090
COL4A3	ENSG00000169031	collagen type IV alpha 3 chain	NM_000091
COL4A4	ENSG00000081052	collagen type IV alpha 4 chain	NM_000092
COL5A1	ENSG00000130635	collagen type V alpha 1 chain	NM_000093
COL7A1	ENSG00000114270	collagen type VII alpha 1 chain	NM_000094
COMP	ENSG00000105664	cartilage oligomeric matrix protein	NM_000095
CP	ENSG00000047457	ceruloplasmin	NM_000096
CST3	ENSG00000101439	cystatin C	NM_000099
EDN3	ENSG00000124205	endothelin 3	NM_000114
F11	ENSG00000088926	coagulation factor XI	NM_000128
F13A1	ENSG00000124491	coagulation factor XIII A chain	NM_000129
F5	ENSG00000198734	coagulation factor V	NM_000130
F7	ENSG00000057593	coagulation factor VII	NM_000131
F8	ENSG00000185010	coagulation factor VIII	NM_000132
F9	ENSG00000101981	coagulation factor IX	NM_000133
FBN1	ENSG00000166147	fibrillin 1	NM_000138
GSN	ENSG00000148180	gelsolin	NM_000177
SERPIND1	ENSG00000099937	serpin family D member 1	NM_000185
CFH	ENSG00000000971	complement factor H	NM_000186
HTN3	ENSG00000205649	histatin 3	NM_000200
