Gene Name,CpG Count,CpG Percentage
Acr_dna.fasta,21,2.6119402985074625
Adcyap1_dna.fasta,20,3.787878787878788
Apln_dna.fasta,14,5.982905982905983
Btc_dna.fasta,8,1.4981273408239701
C1ql2_dna.fasta,27,3.125
Calcb_dna.fasta,12,3.0534351145038165
Cdsn_dna.fasta,58,3.4400948991696323
Col24a1_dna.fasta,121,4.552294958615501
Col6a2_dna.fasta,124,4.425410421127766
Colec10_dna.fasta,21,2.5179856115107913
Cpa4_dna.fasta,33,2.6128266033254155
Cpb1_dna.fasta,37,2.9647435897435894
Crisp3_dna.fasta,13,1.790633608815427
Crtap_dna.fasta,34,2.826267664172901
Cxcl13_dna.fasta,8,2.4242424242424243
Ecm1_dna.fasta,56,3.3392963625521763
Erbb3_dna.fasta,159,3.955223880597015
F9_dna.fasta,28,2.1505376344086025
Fndc1_dna.fasta,251,4.695099139543584
Gdf2_dna.fasta,29,2.253302253302253
Glipr1l1_dna.fasta,12,1.6877637130801686
Hamp_dna.fasta,6,2.380952380952381
Ifng_dna.fasta,7,1.4957264957264957
Il19_dna.fasta,10,1.8832391713747645
Inha_dna.fasta,18,2.941176470588235
Insl6_dna.fasta,16,2.7777777777777777
Itih3_dna.fasta,104,3.895131086142322
Klk10_dna.fasta,23,2.7479091995221028
Lgals1_dna.fasta,7,1.715686274509804
Lgals3_dna.fasta,20,2.515723270440252
Lgi3_dna.fasta,51,3.096539162112933
Lyzl6_dna.fasta,3,0.6711409395973155
Man2b2_dna.fasta,113,3.696434412823029
Ngf_dna.fasta,19,2.6170798898071626
Nhlrc3_dna.fasta,34,3.256704980842912
Nms_dna.fasta,14,3.0303030303030303
Npnt_dna.fasta,62,3.6773428232502967
Nrcam_dna.fasta,143,4.015725919685482
Olfm2_dna.fasta,42,2.9227557411273484
Olfm4_dna.fasta,34,2.102659245516388
Osm_dna.fasta,27,3.4090909090909087
Pate2_dna.fasta,4,1.1904761904761905
Pglyrp1_dna.fasta,12,2.185792349726776
Pla2g10_dna.fasta,8,1.839080459770115
Plau_dna.fasta,36,2.7649769585253456
Pyy_dna.fasta,8,2.6402640264026402
Reln_dna.fasta,447,4.30635838150289
Rptn_dna.fasta,100,2.978850163836759
Serpina11_dna.fasta,35,2.7386541471048513
Serpina12_dna.fasta,29,2.3349436392914655
Serpina3c_dna.fasta,26,2.073365231259968
Serpina3f_dna.fasta,26,1.9431988041853512
Serpina3k_dna.fasta,29,2.307080350039777
Serpina3m_dna.fasta,28,2.578268876611418
Serpina3n_dna.fasta,33,2.6252983293556085
Serpina5_dna.fasta,33,2.70935960591133
Serpina6_dna.fasta,20,1.675041876046901
Serpina7_dna.fasta,23,1.8297533810660305
Serpina9_dna.fasta,27,2.1479713603818613
Serpind1_dna.fasta,28,1.9485038274182327
Smoc1_dna.fasta,50,3.5919540229885056
Spmip8_dna.fasta,9,2.857142857142857
Srpx_dna.fasta,33,2.8871391076115485
Tafa4_dna.fasta,8,1.9607843137254901
Thpo_dna.fasta,29,2.707749766573296
Tsku_dna.fasta,27,2.535211267605634
Ucn3_dna.fasta,9,1.8181818181818181
Wfdc2_dna.fasta,8,2.168021680216802
