Gnpat	NM_010322
Fam120a	NM_001033268
Ndufa13	NM_001382215
Mybpc1	NM_001252372
Neurl1a	NM_001163480
Acadvl	NM_017366
Cox7b	NM_025379
Ndufb11	NM_001358624
Aldh6a1	NM_001313967
Suclg1	NM_019879
Sfr1	NM_026377
Usp13	NM_001013024
Rps2	NM_008503
Ccdc91	NM_001355713
Sparc	NM_001290817
Hspa9	NM_010481
Banf1	NM_001038231
Cct6a	NM_009838
Rps4x	NM_009094
Tuba4a	NM_001313723
Hk2	NM_013820
Ppp1r12b	NM_001081307
C2cd2	NM_174847
Crat	NM_007760
Phyh	NM_010726
Szrd1	NM_001025608
Col6a1	NM_009933
Strap	NM_011499
Sparcl1	NM_001359014
Arpc2	NM_001357387
Psmd2	NM_134101
Msrb1	NM_001346668
Sdhb	NM_001355515
Sar1b	NM_025535
Wwp1	NM_001276292
Ubc	NM_019639
Cystm1	NM_001081365
Dcaf6	NM_028759
Zfp91	NM_053009
Fermt2	NM_001360525
Tpi1	NM_009415
Sgcg	NM_011892
Dym	NM_001403761
Rpl3l	NM_001163945
Grina	NM_023168
Reep5	NM_007874
Serinc3	NM_001412441
Mrpl2	NM_001316742
Cnih1	NM_001355011
Tbx15	NM_001410561
Golph3	NM_025673
Ccng1	NM_009831
Anxa6	NM_001110211
Pkm	NM_001253883
Naca	NM_001113199
Oaz2	NM_001301307
Aco2	NM_080633
Jph2	NM_001205076
Uaca	NM_001357407
Ndufs1	NM_001160038
Gapdh	NM_001289726
Rhoq	NM_145491
Ptpn3	NM_001384115
Hint1	NM_008248
Arrdc2	NM_027560
Morf4l2	NM_001168225
Gyg	NM_001355261
E2f6	NM_033270
Sh3glb1	NM_001282037
Coq10a	NM_001081040
Cs	NM_026444
Chpt1	NM_001146690
Uqcrfs1	NM_025710
Ryr1	NM_009109
Klf9	NM_010638
Tmem182	NM_001081198
Trim35	NM_029979
Eif3h	NM_080635
Me1	NM_001198933
3425401B19Rik	NM_001195097
Eif5a	NM_001166589
Ucp3	NM_009464
Laptm4a	NM_008640
Arl1	NM_025859
Art3	NM_001310664
Atp5k	NM_007507
Cd164	NM_016898
Zfand3	NM_001356265
Cyc1	NM_025567
Tmbim6	NM_001171034
