Gene Name,CpG Count,CpG Percentage
Ak3__a_dna.fasta,39,5.726872246696035
Aplp2__a_dna.fasta,115,5.097517730496453
Aqp1__a_dna.fasta,46,5.679012345679013
Arl8b__a_dna.fasta,25,4.45632798573975
Atf4__a_dna.fasta,52,4.9523809523809526
Atp5f1c__a_dna.fasta,43,5.212121212121213
Cmya5__a_dna.fasta,563,5.103798386365697
Coq5__a_dna.fasta,51,5.182926829268292
Cpe__a_dna.fasta,64,4.472396925227113
Dnajb5__a_dna.fasta,80,6.334125098970704
Eif3b__a_dna.fasta,124,5.140961857379768
Ensa__a_dna.fasta,15,4.23728813559322
Fbxo40__a_dna.fasta,95,4.453820909517113
Fin14__a_dna.fasta,4,2.1505376344086025
Foxo4__a_dna.fasta,80,5.270092226613966
Hrc__a_dna.fasta,132,5.953991880920163
Idh2__a_dna.fasta,76,5.59234731420162
Ipo13__a_dna.fasta,136,4.702627939142462
Itgb1bp2__a_dna.fasta,61,5.7929724596391265
Jak1__a_dna.fasta,138,4.368471035137702
Jsrp1__a_dna.fasta,63,6.306306306306306
Kpna3__a_dna.fasta,68,4.342273307790549
Lamp1__a_dna.fasta,45,3.6764705882352944
Lpl__a_dna.fasta,72,5.052631578947368
Lrrc20__a_dna.fasta,32,5.7657657657657655
Lrrc2__a_dna.fasta,38,3.405017921146954
Mapk12__a_dna.fasta,51,4.829545454545454
Mbnl2__a_dna.fasta,54,4.81283422459893
Mllt11__a_dna.fasta,9,3.296703296703297
Mreg__a_dna.fasta,28,4.341085271317829
Myh8__a_dna.fasta,269,4.626762985896113
Myl1__a_dna.fasta,19,4.194260485651214
Opa1__a_dna.fasta,136,4.630575417092271
Pdp1__a_dna.fasta,91,5.627705627705628
Pfkm__a_dna.fasta,130,5.548442168160478
Ppp1r2__a_dna.fasta,31,4.99194847020934
Psmd7__a_dna.fasta,41,4.244306418219462
Qser1__a_dna.fasta,225,4.192286193404136
Rac1__a_dna.fasta,28,4.40251572327044
Scn4a__a_dna.fasta,219,3.9630836047774154
Scn4b__a_dna.fasta,26,3.7845705967976713
Sdha__a_dna.fasta,137,6.867167919799498
Tmem70__a_dna.fasta,32,4.183006535947712
Tob1__a_dna.fasta,42,3.8567493112947657
Txlnb__a_dna.fasta,87,4.227405247813411
Uqcrc2__a_dna.fasta,70,5.139500734214391
