Gene Name,CpG Count,CpG Percentage
Acr__a_dna.fasta,41,5.099502487562189
Adcyap1__a_dna.fasta,31,5.871212121212121
Apln__a_dna.fasta,11,4.700854700854701
Btc__a_dna.fasta,27,5.056179775280898
C1ql2__a_dna.fasta,52,6.018518518518518
Calcb__a_dna.fasta,15,3.816793893129771
Cdsn__a_dna.fasta,74,4.389086595492289
Col24a1__a_dna.fasta,144,5.417607223476298
Col6a2__a_dna.fasta,155,5.531763026409707
Colec10__a_dna.fasta,35,4.1966426858513195
Cpa4__a_dna.fasta,67,5.304829770387965
Cpb1__a_dna.fasta,59,4.727564102564102
Crisp3__a_dna.fasta,24,3.3057851239669422
Crtap__a_dna.fasta,70,5.818786367414797
Cxcl13__a_dna.fasta,14,4.242424242424243
Ecm1__a_dna.fasta,89,5.307096004770424
Erbb3__a_dna.fasta,213,5.298507462686567
F9__a_dna.fasta,69,5.299539170506913
Fndc1__a_dna.fasta,307,5.742611298166854
Gdf2__a_dna.fasta,67,5.205905205905205
Glipr1l1__a_dna.fasta,34,4.781997187060478
Hamp__a_dna.fasta,6,2.380952380952381
Ifng__a_dna.fasta,18,3.8461538461538463
Il19__a_dna.fasta,26,4.8964218455743875
Inha__a_dna.fasta,29,4.738562091503268
Insl6__a_dna.fasta,21,3.6458333333333335
Itih3__a_dna.fasta,140,5.2434456928838955
Klk10__a_dna.fasta,30,3.584229390681003
Lgals1__a_dna.fasta,21,5.147058823529411
Lgals3__a_dna.fasta,49,6.163522012578617
Lgi3__a_dna.fasta,94,5.707346690953248
Lyzl6__a_dna.fasta,17,3.803131991051454
Man2b2__a_dna.fasta,152,4.97219496238142
Ngf__a_dna.fasta,34,4.683195592286501
Nhlrc3__a_dna.fasta,60,5.747126436781609
Nms__a_dna.fasta,22,4.761904761904762
Npnt__a_dna.fasta,91,5.397390272835112
Nrcam__a_dna.fasta,183,5.139005897219882
Olfm2__a_dna.fasta,64,4.453723034098817
Olfm4__a_dna.fasta,84,5.194805194805195
Osm__a_dna.fasta,41,5.1767676767676765
Pate2__a_dna.fasta,11,3.273809523809524
Pglyrp1__a_dna.fasta,32,5.828779599271402
Pla2g10__a_dna.fasta,19,4.3678160919540225
Plau__a_dna.fasta,66,5.0691244239631335
Pyy__a_dna.fasta,18,5.9405940594059405
Reln__a_dna.fasta,520,5.009633911368015
Rptn__a_dna.fasta,125,3.723562704795949
Serpina11__a_dna.fasta,57,4.460093896713615
Serpina12__a_dna.fasta,47,3.784219001610306
Serpina3c__a_dna.fasta,55,4.385964912280701
Serpina3f__a_dna.fasta,57,4.260089686098654
Serpina3k__a_dna.fasta,49,3.8981702466189336
Serpina3m__a_dna.fasta,43,3.959484346224678
Serpina3n__a_dna.fasta,53,4.216388225934765
Serpina5__a_dna.fasta,57,4.679802955665025
Serpina6__a_dna.fasta,46,3.8525963149078724
Serpina7__a_dna.fasta,42,3.341288782816229
Serpina9__a_dna.fasta,55,4.375497215592681
Serpind1__a_dna.fasta,61,4.244954766875435
Smoc1__a_dna.fasta,70,5.028735632183908
Spmip8__a_dna.fasta,12,3.8095238095238098
Srpx__a_dna.fasta,64,5.599300087489064
Tafa4__a_dna.fasta,17,4.166666666666666
Thpo__a_dna.fasta,57,5.322128851540616
Tsku__a_dna.fasta,49,4.600938967136151
Ucn3__a_dna.fasta,22,4.444444444444445
Wfdc2__a_dna.fasta,20,5.420054200542006
