Gene Name,CpG Count,CpG Percentage
Aacs__a_dna.fasta,110,5.448241703813769
Acat1__a_dna.fasta,62,4.862745098039216
Atp6v0d1__a_dna.fasta,42,3.977272727272727
B4gat1__a_dna.fasta,71,5.689102564102564
Cacng7__a_dna.fasta,43,5.193236714975845
Clns1a__a_dna.fasta,43,5.922865013774105
Eif1b__a_dna.fasta,18,5.263157894736842
Emc2__a_dna.fasta,42,4.697986577181208
Etnk1__a_dna.fasta,43,3.9377289377289375
Fam91a1__a_dna.fasta,101,4.245481294661622
Hprt1__a_dna.fasta,32,4.87062404870624
Lamp1__a_dna.fasta,64,5.228758169934641
Mea1__a_dna.fasta,34,5.246913580246913
Mfap1b__a_dna.fasta,73,5.53030303030303
Mrpl41__a_dna.fasta,15,3.6764705882352944
Mrpl54__a_dna.fasta,16,3.9215686274509802
Mtcl3__a_dna.fasta,174,6.13107822410148
Nptx1__a_dna.fasta,66,5.080831408775981
Nr4a1__a_dna.fasta,87,4.817275747508306
Pfn1__a_dna.fasta,19,4.491725768321513
Pgam1__a_dna.fasta,43,5.620915032679739
Pip4k2b__a_dna.fasta,52,4.156674660271783
Polr2g__a_dna.fasta,24,4.624277456647398
Ppp6r1__a_dna.fasta,113,4.395176973940101
Psmd6__a_dna.fasta,60,5.128205128205128
Rpl41__a_dna.fasta,6,7.6923076923076925
Rpsa__a_dna.fasta,47,5.292792792792793
Sec62__a_dna.fasta,61,4.94728304947283
Sesn3__a_dna.fasta,83,5.611899932386748
Slc8a2__a_dna.fasta,178,6.477438136826782
Sptssa__a_dna.fasta,7,3.2407407407407405
Syne1__a_dna.fasta,402,4.450348721355032
Syngr3__a_dna.fasta,39,5.6521739130434785
Trnp1__a_dna.fasta,54,8.035714285714286
Ube3c__a_dna.fasta,149,4.581795817958179
