Gene Name,CpG Count,CpG Percentage
1110020P15Rik__a_dna.fasta,9,5.084745762711865
Abcc3__a_dna.fasta,200,4.374453193350831
Ahcy__a_dna.fasta,77,5.9276366435719785
Akr1a1__a_dna.fasta,51,5.214723926380368
Apoa2__a_dna.fasta,11,3.559870550161812
Apoc4__a_dna.fasta,17,4.533333333333333
Atp5mf__a_dna.fasta,13,4.868913857677903
Ces1g__a_dna.fasta,94,5.535924617196701
Cfb__a_dna.fasta,114,5.322128851540616
Cluh__a_dna.fasta,204,5.022156573116692
Commd3__a_dna.fasta,29,4.931972789115646
Cpt2__a_dna.fasta,101,5.108750632271118
Cyp2d10__a_dna.fasta,72,4.752475247524752
Cyp2d22__a_dna.fasta,77,5.123087159015303
Cyp2d26__a_dna.fasta,59,3.9254823685961413
Dap__a_dna.fasta,16,5.177993527508091
F12__a_dna.fasta,84,4.682274247491638
Fos__a_dna.fasta,62,5.42432195975503
Galm__a_dna.fasta,50,4.8590864917395535
Gch1__a_dna.fasta,34,4.683195592286501
Ifitm3__a_dna.fasta,20,4.830917874396135
Igfbp4__a_dna.fasta,46,6.0130718954248366
Itm2b__a_dna.fasta,44,5.493133583021224
Klkb1__a_dna.fasta,83,4.329681794470527
Ndufb7__a_dna.fasta,27,6.521739130434782
Ndufc2__a_dna.fasta,19,5.234159779614325
Ndufs6__a_dna.fasta,21,5.982905982905983
Nr1h4__a_dna.fasta,65,4.56140350877193
Ociad1__a_dna.fasta,32,5.414551607445008
Pdia4__a_dna.fasta,113,5.3809523809523805
Pfdn5__a_dna.fasta,20,3.418803418803419
Rdx__a_dna.fasta,87,4.965753424657534
Rhoa__a_dna.fasta,31,5.326460481099656
Sc5d__a_dna.fasta,29,3.2222222222222223
Sdhd__a_dna.fasta,26,5.416666666666667
Serpina3k__a_dna.fasta,47,3.739061256961018
Slc25a22__a_dna.fasta,56,5.761316872427984
Slc6a13__a_dna.fasta,72,3.9800995024875623
Snx3__a_dna.fasta,30,6.134969325153374
Spr__a_dna.fasta,48,6.083650190114068
Suox__a_dna.fasta,92,5.606337599024984
Swi5__a_dna.fasta,19,5.191256830601093
Tmem243__a_dna.fasta,13,3.6414565826330536
Tram1__a_dna.fasta,46,4.0888888888888895
Zfp36__a_dna.fasta,53,5.520833333333333
