Gene Name,CpG Count,CpG Percentage
Ak3_dna.fasta,16,2.3494860499265786
Aplp2_dna.fasta,86,3.8120567375886525
Aqp1_dna.fasta,25,3.0864197530864197
Arl8b_dna.fasta,11,1.9607843137254901
Atf4_dna.fasta,21,2.0
Atp5f1c_dna.fasta,22,2.666666666666667
Cmya5_dna.fasta,490,4.442027014776539
Coq5_dna.fasta,25,2.540650406504065
Cpe_dna.fasta,50,3.494060097833683
Dnajb5_dna.fasta,45,3.5629453681710213
Eif3b_dna.fasta,95,3.9386401326699834
Ensa_dna.fasta,6,1.694915254237288
Fbxo40_dna.fasta,60,2.8129395218002813
Fin14_dna.fasta,1,0.5376344086021506
Foxo4_dna.fasta,46,3.0303030303030303
Hrc_dna.fasta,105,4.7361299052774015
Idh2_dna.fasta,39,2.869757174392936
Ipo13_dna.fasta,91,3.1466113416320884
Itgb1bp2_dna.fasta,21,1.9943019943019942
Jak1_dna.fasta,108,3.418803418803419
Jsrp1_dna.fasta,46,4.604604604604605
Kpna3_dna.fasta,45,2.8735632183908044
Lamp1_dna.fasta,32,2.6143790849673203
Lpl_dna.fasta,43,3.017543859649123
Lrrc20_dna.fasta,13,2.3423423423423424
Lrrc2_dna.fasta,25,2.240143369175627
Mapk12_dna.fasta,39,3.6931818181818183
Mbnl2_dna.fasta,50,4.45632798573975
Mllt11_dna.fasta,3,1.098901098901099
Mreg_dna.fasta,15,2.3255813953488373
Myh8_dna.fasta,248,4.265565875472997
Myl1_dna.fasta,9,1.9867549668874174
Opa1_dna.fasta,97,3.302689819543752
Pdp1_dna.fasta,50,3.0921459492888066
Pfkm_dna.fasta,82,3.4997865983781478
Ppp1r2_dna.fasta,13,2.0933977455716586
Psmd7_dna.fasta,29,3.002070393374741
Qser1_dna.fasta,179,3.3351965716415135
Rac1_dna.fasta,12,1.8867924528301887
Scn4a_dna.fasta,170,3.076366268548679
Scn4b_dna.fasta,14,2.037845705967977
Sdha_dna.fasta,71,3.558897243107769
Tmem70_dna.fasta,20,2.6143790849673203
Tob1_dna.fasta,29,2.6629935720844813
Txlnb_dna.fasta,66,3.206997084548105
Uqcrc2_dna.fasta,41,3.010279001468429
