Srxn1	NM_029688
Ptcd3	NM_001362068
Ndufa6	NM_025987
Nmt1	NM_008707
Actr1a	NM_001365070
Cox8a	NM_007750
Tomm22	NM_172609
Psmb3	NM_011971
Itm2b	NM_008410
Chchd2	NM_024166
Gnaq	NM_008139
Marcks	NM_008538
Dynlt3	NM_025975
Asrgl1	NM_025610
Atp1b3	NM_001357212
Pcdhgc3	NM_033581
Snrpd1	NM_009226
Rnaset2b	NM_026611
Josd1	NM_028792
Psenen	NM_001364016
Hey1	NM_010423
Bola2	NM_175103
Plcl2	NM_013880
Vapb	NM_019806
Phyh	NM_010726
Tmem38a	NM_001357278
Arfgef3	NM_001033258
Bex2	NM_009749
Psmc2	NM_001368661
Ier3ip1	NM_025409
Txn1	NM_011660
Abhd17b	NM_146096
Laptm4b	NM_033521
Mapk8ip2	NM_021921
Btbd1	NM_146193
Diras1	NM_145217
Fam13b	NM_146084
Glrx3	NM_001348093
Ap3m2	NM_001122820
Cnr1	NM_001355020
Atp6v0e2	NM_001347164
Cd9	NM_007657
Polr2l	NM_025593
Ndufa2	NM_010885
Mrpl42	NM_001359476
Ypel5	NM_001357368
Bccip	NM_025392
Eif3e	NM_008388
Ostc	NM_025509
Mtmr9	NM_177594
B4galt6	NM_019737
Bub3	NM_001317350
Dhx36	NM_028136
Aggf1	NM_025630
Reep2	NM_001204914
Coa3	NM_026618
Ttc9b	NM_028417
Fads1	NM_146094
Uqcc3	NM_001160356
Cenpb	NM_007682
Cs	NM_026444
D8Ertd738e	NM_001007571
Clec2l	NM_001101507
Rprd1a	NM_001360807
Eid1	NM_025613
Baz1b	NM_011714
Ganab	NM_001293621
Ubb	NM_001313984
Lmtk2	NM_001081109
Nsg1	NM_001359090
Sephs2	NM_009266
Rab24	NM_009000
Ndufb7	NM_025843
Dnaja2	NM_019794
Ranbp2	NM_011240
Smim15	NM_001048250
Rap1b	NM_024457
Mpc2	NM_027430
Chchd10	NM_175329
Timm13	NM_013895
9130401M01Rik	NM_029418
Mrpl34	NM_053162
Fam120a	NM_001033268
Cygb	NM_030206
Ppp1ca	NM_031868
Degs1	NM_001360783
Arhgef17	NM_001081116
Scamp5	NM_001301634
Ndufa1	NM_019443
Mrps25	NM_025578
Uqcr10	NM_001047158
Polr2b	NM_153798
Ndufaf5	NM_027093
Hmgcs1	NM_001291439
Tm2d2	NM_027194
Copb2	NM_015827
Ccny	NM_026484
Vps41	NM_172120
Stoml1	NM_026942
Polb	NM_011130
Ist1	NM_001361562
Gabarapl2	NM_026693
Rhob	NM_007483
Narf	NM_026272
Lysmd2	NM_027309
Maz	NM_001372521
Polr2d	NM_001357480
Ccdc124	NM_026964
Etfb	NM_026695
Klhl24	NM_029436
Tmed9	NM_026211
Pin4	NM_001365090
Mrpl57	NM_026401
Bmpr2	NM_007561
Ogdhl	NM_001081130
Ccdc12	NM_028312
Brk1	NM_133937
Cpd	NM_007754
Scg2	NM_001310680
B3galnt1	NM_001410637
Syt4	NM_009308
Rpn1	NM_133933
Zfp445	NM_001359934
Tomm20	NM_024214
Clpp	NM_017393
Ctsb	NM_007798
Etf1	NM_144866
Dync1li2	NM_001013380
Hspbp1	NM_001360629
Nomo1	NM_153057
B3gat3	NM_024256
Atg101	NM_026566
Marcksl1	NM_010807
Clptm1l	NM_146047
Slc38a2	NM_001355633
Thap11	NM_021513
Actr2	NM_001362899
Gns	NM_001364695
Cmtm4	NM_153582
Eif1ax	NM_025437
Rars	NM_025936
Ugcg	NM_011673
Bckdha	NM_001403510
Enc1	NM_007930
Gfod1	NM_001033399
Ndufc2	NM_024220
Camk2n1	NM_025451
Ost4	NM_001134692
Ndufb3	NM_025597
Irgq	NM_153134
Tuba1a	NM_011653
Hars	NM_008214
Fmc1	NM_025363
Scd2	NM_009128
Ppm1e	NM_177167
Gcsh	NM_026572
Rpl36al	NM_025589
Rpl24	NM_024218
Stx7	NM_001358563
Hspa2	NM_001002012
Fam171b	NM_175514
Hspe1	NM_008303
Tomm7	NM_025394
Impact	NM_001357396
Ssna1	NM_023464
Fam8a1	NM_001033192
Cnpy2	NM_019953
Syt5	NM_001360421
Arl5a	NM_182994
Fzd3	NM_021458
Klhl11	NM_172565
Hnrnpa0	NM_029872
Fbxo25	NM_001347316
Rpl37rt	NM_001271590
Bex1	NM_009052
Pip4k2c	NM_001359280
Ppa1	NM_026438
Faim2	NM_001038658
Tspyl4	NM_030203
Lamtor3	NM_019920
Ppm1k	NM_175523
Lamtor4	NM_001081108
Rala	NM_019491
Snn	NM_009223
Psmd7	NM_010817
Emc7	NM_133749
Praf2	NM_138602
Dusp6	NM_026268
Eif3l	NM_145139
Klhl23	NM_001360394
Vamp3	NM_009498
Slc48a1	NM_026353
Rexo2	NM_001357501
Ndufa11	NM_027244
Brms1l	NM_001037756
Diras2	NM_001024474
Emc6	NM_001168470
Map2k1	NM_001410474
Tubb4b	NM_146116
Lrrc59	NM_133807
Arxes2	NM_029823
Fbxo2	NM_176848
Trappc10	NM_001081055
Rer1	NM_001362981
Cfap20	NM_008187
Ankrd46	NM_001358006
Noc2l	NM_001369270
Olfm2	NM_001357635
Cyc1	NM_025567
Pten	NM_008960
Cstf2t	NM_031249
Dhcr24	NM_053272
Snx32	NM_001024560
Rcn2	NM_001278274
Vat1	NM_012037
Rab39b	NM_175122
Coprs	NM_001359059
Rhobtb2	NM_153514
Hspa12a	NM_001327998
Actr10	NM_019785
Fxr2	NM_011814
Cox16	NM_001309808
Rtcb	NM_145422
Mex3c	NM_001039214
Mrfap1	NM_026242
Arl6ip5	NM_022992
Sdhaf4	NM_026503
Atp6ap2	NM_027439
Ttc7b	NM_001033213
Chmp2b	NM_026879
Chga	NM_007693
Apmap	NM_001356491
Pdcd6	NM_001359996
Cdc42bpb	NM_183016
Cox7a2	NM_009945
Klhl9	NM_172871
Ap1ar	NM_001346718
Bbip1	NM_001195338
Cfdp1	NM_001368335
Nudc	NM_010948
Rps3a1	NM_016959
Tmem151b	NM_001013749
Rnf208	NM_176834
Tkt	NM_009388
Ppib	NM_011149
Ik	NM_011879
Necap1	NM_026267
Actr8	NM_027493
Trib2	NM_144551
Gdpd1	NM_025638
Ddn	NM_001013741
Fjx1	NM_010218
Rps13	NM_026533
Sdhd	NM_025848
Rpl17	NM_001002239
Lman2	NM_025828
Dcaf5	NM_001364324
Kpnb1	NM_008379
Rps26	NM_013765
Nacc1	NM_025788
Cct7	NM_007638
Nipa1	NM_153578
Cstb	NM_007793
Hexa	NM_001410424
Caml	NM_007596
Scd1	NM_009127
Lingo1	NM_001311076
Pigyl	NM_001082532
Atp6v1g1	NM_024173
Smim12	NM_030252
Ndufs4	NM_010887
Camk2n2	NM_028420
Ormdl3	NM_025661
Nop10	NM_025403
Ipo7	NM_001362172
Sf3b6	NM_025323
Snrpd2	NM_026943
Hgsnat	NM_029884
Gstp1	NM_013541
Arf6	NM_007481
Rpl23a	NM_207523
Sar1b	NM_025535
Sptbn2	NM_021287
Tmx3	NM_198295
Lpcat4	NM_207206
Zfp771	NM_001360916
Fabp3	NM_010174
Uba52	NM_001348227
Psmc6	NM_001416015
Phlpp1	NM_133821
Myl6	NM_001317217
Ddt	NM_010027
Spcs2	NM_025668
Bnip3	NM_009760
Ctnna1	NM_009818
C1d	NM_001330649
Psmb7	NM_011187
Cnrip1	NM_029861
Epdr1	NM_134065
Bzw2	NM_025840
Sap18b	NM_001142441
Prkag1	NM_001411575
Dgat2	NM_026384
Ank	NM_020332
Nap1l5	NM_021432
Cox20	NM_025511
Gpi1	NM_008155
Leprotl1	NM_026609
Shisa4	NM_175259
Klhl2	NM_178633
Gdap1	NM_010267
Nsa2	NM_021552
Lin7c	NM_011699
Atp5e	NM_025983
Spry2	NM_011897
Cadm4	NM_153112
Rnasek	NM_173742
Csdc2	NM_145473
Ddit4	NM_029083
Atg3	NM_001356366
Ddx50	NM_001358819
Snrpe	NM_009227
Psmb5	NM_011186
Gpr22	NM_175191
Eif3f	NM_025344
Psmb2	NM_011970
Nprl2	NM_018879
Kcnh3	NM_010601
Tusc2	NM_019742
Cst3	NM_009976
Mrpl46	NM_023331
Gna11	NM_010301
Smim10l1	NM_001163445
Elp3	NM_001253812
Grina	NM_023168
Tsnax	NM_016909
Lcmt1	NM_001355050
Trappc3	NM_013718
Rpl36	NM_018730
Mgat3	NM_010795
Kctd13	NM_172747
Rpl37	NM_026069
Rplp1	NM_018853
Lgi3	NM_145219
Hsbp1	NM_024219
Bbs4	NM_001359558
Cdk5r2	NM_009872
Txndc17	NM_026559
Chgb	NM_007694
Mettl9	NM_021554
Pura	NM_008989
Pygb	NM_153781
Zfp706	NM_026521
Ndufb9	NM_001364808
Ppp2ca	NM_019411
Cfl2	NM_007688
Gnaz	NM_001358848
Uqcrfs1	NM_025710
Bpgm	NM_001363708
Ap3d1	NM_007460
Snx2	NM_001357463
Atf4	NM_001287180
Creg2	NM_170597
Alg2	NM_001355496
Mrpl11	NM_025553
Cyp51	NM_020010
Emc3	NM_175101
Dnajc3	NM_008929
Wdr6	NM_031392
Hacd3	NM_021345
Igbp1	NM_008784
Pgrmc2	NM_027558
