Gene Name,CpG Count,CpG Percentage
Aacs__a_dna.fasta,119,5.894006934125804
Acat1__a_dna.fasta,80,6.2745098039215685
Atp6v0d1__a_dna.fasta,54,5.113636363636364
B4gat1__a_dna.fasta,69,5.528846153846153
Cacng7__a_dna.fasta,48,5.797101449275362
Clns1a__a_dna.fasta,39,5.371900826446281
Eif1b__a_dna.fasta,20,5.847953216374268
Emc2__a_dna.fasta,61,6.823266219239374
Etnk1__a_dna.fasta,47,4.304029304029304
Fam91a1__a_dna.fasta,124,5.212274064733082
Hprt1__a_dna.fasta,29,4.41400304414003
Lamp1__a_dna.fasta,57,4.6568627450980395
Mea1__a_dna.fasta,35,5.401234567901234
Mfap1b__a_dna.fasta,82,6.212121212121212
Mrpl41__a_dna.fasta,19,4.6568627450980395
Mrpl54__a_dna.fasta,25,6.127450980392156
Mtcl3__a_dna.fasta,181,6.377730796335447
Nptx1__a_dna.fasta,63,4.849884526558892
Nr4a1__a_dna.fasta,105,5.813953488372093
Pfn1__a_dna.fasta,21,4.964539007092199
Pgam1__a_dna.fasta,40,5.228758169934641
Pip4k2b__a_dna.fasta,79,6.314948041566747
Polr2g__a_dna.fasta,32,6.165703275529865
Ppp6r1__a_dna.fasta,139,5.4064566316608325
Psmd6__a_dna.fasta,66,5.641025641025641
Rpl41__a_dna.fasta,7,8.974358974358974
Rpsa__a_dna.fasta,53,5.968468468468469
Sec62__a_dna.fasta,73,5.920519059205191
Sesn3__a_dna.fasta,81,5.476673427991886
Slc8a2__a_dna.fasta,172,6.259097525473072
Sptssa__a_dna.fasta,9,4.166666666666666
Syne1__a_dna.fasta,437,4.8378168936123105
Syngr3__a_dna.fasta,48,6.956521739130435
Trnp1__a_dna.fasta,67,9.970238095238097
Ube3c__a_dna.fasta,162,4.981549815498155
