Anp32b	NM_130889
Ugp2	NM_001290634
Psmc5	NM_008950
Tmsb4x	NM_021278
Rab10	NM_016676
Rpl8	NM_012053
Myo18b	NM_028901
Mpc1	NM_001364918
Idh3b	NM_001362752
Trim63	NM_001039048
Myl3	NM_001364484
Eif3c	NM_146200
Kcnj11	NM_001204411
Ndrg2	NM_001145959
Unc45b	NM_001415076
Ndufv2	NM_001278415
Trak2	NM_172406
Glud1	NM_008133
Calu	NM_001285412
Plec	NM_001163540
Riok3	NM_024182
Alpk3	NM_054085
Cdv3	NM_001134426
Ube2d1	NM_145420
Dhrs7c	NM_001013013
Cyb5b	NM_025558
Atp5a1	NM_007505
Myh4	NM_010855
Mlec	NM_175403
Jtb	NM_206924
Gpx4	NM_001037741
Mypn	NM_182992
Spag9	NM_001025428
Cdc34	NM_001359817
Tpm2	NM_001277875
Eif3f	NM_025344
Tacc2	NM_001004468
Ndufa3	NM_025348
Gbe1	NM_028803
Ndufb9	NM_001364808
Esrra	NM_001413228
Rnf10	NM_001302448
Etfa	NM_145615
Rtn2	NM_001025364
Timp2	NM_011594
Vdac2	NM_011695
Lynx1	NM_011838
Angptl7	NM_001039554
Serpinf1	NM_011340
Rpl32	NM_172086
Sod2	NM_013671
Myom1	NM_001083934
Emc6	NM_001168470
Cacnb1	NM_001159319
Idh3a	NM_029573
Eif4g2	NM_001040131
Ubb	NM_001313984
Coro6	NM_001368670
Ybx1	NM_011732
Arl6ip5	NM_022992
Col1a1	NM_007742
Ywhag	NM_018871
Gpt2	NM_173866
Nap1l4	NM_001285489
Fabp3	NM_010174
Mybpc2	NM_146189
Smoc2	NM_022315
Mospd1	NM_001290514
Coa3	NM_026618
Ppp1r3a	NM_080464
Akr1a1	NM_021473
Ndufa6	NM_025987
Glul	NM_008131
Mat2a	NM_001363798
Uqcrh	NM_025641
Ulk2	NM_013881
Bnip3	NM_009760
Vcp	NM_009503
Pdlim7	NM_001114087
Ahnak	NM_001039959
Fem1a	NM_010192
Casq1	NM_009813
Hbb-bs	NM_001201391
Smtnl1	NM_024230
Ppp2r3a	NM_001161362
Cib2	NM_019686
Ddb1	NM_001410219
Itm2b	NM_008410
Prkar2a	NM_008924
Trip10	NM_001242389
Uqcc2	NM_001364944
Nek7	NM_001311148
Pdhb	NM_024221
Kif1c	NM_153103
Actc1	NM_009608
Hdgf	NM_001331051
Agl	NM_001081326
Kpna4	NM_008467
Uqcrq	NM_001326614
Tmem147	NM_027215
Rps27l	NM_001311101
Trim72	NM_001079932
Cacna1s	NM_001081023
Cat	NM_009804
Actr1b	NM_146107
Uqcrc1	NM_025407
Rbm24	NM_001081425
Myoz3	NM_133363
Vapa	NM_001355402
Sypl	NM_013635
Coq9	NM_026452
Igfbp5	NM_010518
4833439L19Rik	NM_001252645
Hif1an	NM_176958
Chac1	NM_026929
Ctnnb1	NM_001165902
Ap4s1	NM_001329698
Epm2a	NM_010146
Ktn1	NM_001293635
Decr1	NM_026172
Zbtb18	NM_001012330
Rps14	NM_020600
Acacb	NM_001403527
Tmem52	NM_001253856
Sypl2	NM_008596
Maf1	NM_001164607
Kif1b	NM_001290995
Ube2b	NM_001362685
Spag7	NM_001167669
Dmpk	NM_001190490
Ndufaf1	NM_001356467
Smox	NM_001177833
Gmpr	NM_025508
Mknk2	NM_021462
Gfm1	NM_138591
Otud6b	NM_001416021
Cluh	NM_001081158
Mrpl34	NM_053162
Tns1	NM_001289895
Cav1	NM_001243064
Fth1	NM_010239
Ptp4a2	NM_001164745
Thbs4	NM_011582
Ttll7	NM_001302957
Serinc1	NM_019760
Myl9	NM_172118
Cnbp	NM_001109745
Atp1b1	NM_009721
Acsl1	NM_001302163
Fhl3	NM_010213
Tmem109	NM_134142
Camk2a	NM_001286809
Ndufs8	NM_001271443
Ndfip1	NM_001355749
Kif5b	NM_008448
Sptb	NM_013675
Mrps21	NM_001355759
Ubxn2a	NM_145441
Srl	NM_001347162
Eef1g	NM_026007
Igfbp7	NM_001159518
Synpo2	NM_001388502
Sdhc	NM_025321
Acta2	NM_007392
Eif5	NM_173363
Ankrd2	NM_020033
Cox8b	NM_007751
Rnf7	NM_001311135
Col3a1	NM_009930
Slc25a11	NM_024211
Lmcd1	NM_144799
Rragd	NM_001369055
Phkb	NM_001364411
Mapkapk2	NM_008551
Ctsb	NM_007798
Nfe2l1	NM_001130450
Ndufa8	NM_026703
Oat	NM_016978
Uqcr10	NM_001047158
Fsd2	NM_172904
Gadd45g	NM_011817
Mef2c	NM_001170537
Larp1	NM_028451
Eno3	NM_001136062
Alkbh5	NM_172943
Ndufs4	NM_010887
Ndufs5	NM_001030274
Golga4	NM_001410161
Smco1	NM_183283
Smyd1	NM_001160127
Cxcl14	NM_019568
Map1lc3a	NM_025735
St3gal5	NM_001035228
Paics	NM_001356971
Ppp3r1	NM_024459
Actn2	NM_033268
2310002L09Rik	NM_027104
Txnip	NM_001009935
Tpm1	NM_001164248
Higd2a	NM_025933
Epdr1	NM_134065
Ywhae	NM_009536
Svil	NM_001347449
Prkaca	NM_001277898
Rab7	NM_001293652
Nr4a1	NM_001411253
Mfn1	NM_024200
Mbnl1	NM_001253708
Fabp4	NM_001409513
B2m	NM_009735
Eef2	NM_007907
Acat1	NM_144784
Ctdsp1	NM_153088
Obscn	NM_001171512
Trp53inp2	NM_178111
Abcb7	NM_009592
Mylpf	NM_001347655
Smpdl3a	NM_020561
Tmem64	NM_181401
Cacng1	NM_007582
Hadha	NM_178878
Fbxo32	NM_026346
Mtfp1	NM_026443
Eif4g1	NM_001005331
Aldoa	NM_001177307
Mrpl42	NM_001359476
Pja2	NM_001025309
Synm	NM_183312
Scn1b	NM_001402334
Mcee	NM_001355124
Ide	NM_031156
Rab2a	NM_001411827
Pink1	NM_026880
Ky	NM_024291
Itm2a	NM_008409
Pgm2	NM_001356964
Acadm	NM_007382
Ube2m	NM_001168469
Mgst3	NM_025569
Tpt1	NM_009429
Pgam2	NM_018870
Nrd1	NM_001346554
Abcc9	NM_001044720
Klhl41	NM_001081087
Asb8	NM_001170710
Car3	NM_007606
Mb	NM_001164047
Usp47	NM_001357952
Gid4	NM_025757
Pnrc1	NM_001033225
Ndufa1	NM_019443
Ptp4a3	NM_001166388
Cacng6	NM_133183
Ybx3	NM_011733
Phtf2	NM_172992
Slc25a12	NM_172436
Cul3	NM_001313728
Tm9sf2	NM_080556
Ndufb8	NM_001347447
Chchd3	NM_001355667
Tnnt3	NM_001163664
Ankrd40	NM_027799
Trdn	NM_001364696
Epas1	NM_010137
Stac3	NM_001359751
Ckmt2	NM_198415
Des	NM_010043
Psmd4	NM_001282017
R3hdm2	NM_001168292
Slc25a3	NM_133668
Psmd12	NM_025894
Cyp27a1	NM_024264
Amfr	NM_001414270
Srpr	NM_026130
Map2k3	NM_008928
Asb2	NM_001374764
Amotl1	NM_001081395
Psap	NM_001146120
Psmc4	NM_011874
Dnaja3	NM_001135112
Calr	NM_007591
Rps26	NM_013765
Rapgef1	NM_001039086
Dag1	NM_001276481
Pkia	NM_001410515
Tmem38a	NM_001357278
Cdk16	NM_001310456
Tab2	NM_001359534
Ndufa10	NM_024197
Sgk1	NM_001161845
Rdx	NM_001104616
Vegfb	NM_001185164
Got1	NM_010324
