5730409E04Rik	NM_001013755
Alyref	NM_011568
Slc25a17	NM_011399
Supt16	NM_033618
Glrx	NM_001360151
Ptp4a1	NM_011200
Cct2	NM_001358767
Ttyh3	NM_001308039
Hpcal1	NM_001361645
Cnih2	NM_001302333
Tspyl1	NM_009433
Atxn7l3b	NM_001033474
Tpgs1	NM_148934
Rps29	NM_009093
Cmpk1	NM_025647
Ndufs8	NM_001271443
Ssbp4	NM_001372468
Rab5a	NM_025887
Cdipt	NM_001347656
Txndc12	NM_025334
H1f0	NM_008197
BC029722	NM_001384169
Tmem179	NM_178915
Tubb2b	NM_023716
Golph3	NM_025673
Srp9	NM_012058
Ccdc25	NM_145944
Hsd17b4	NM_008292
Coq2	NM_027978
Hint1	NM_008248
Fam216a	NM_026883
Stx1b	NM_024414
Dynll1	NM_019682
Map1b	NM_008634
Uqcrb	NM_026219
Magoh	NM_001282737
Eef1akmt1	NM_026526
Ddost	NM_007838
Tgoln1	NM_009443
Ncan	NM_007789
6330403K07Rik	NM_134022
Scg3	NM_001164790
Ddx42	NM_001361640
Magee1	NM_053201
Isca1	NM_026921
Amd1	NM_009665
Cox7b	NM_025379
Pank3	NM_145962
Arl8b	NM_026011
Junb	NM_008416
Atad1	NM_026487
Mtpn	NM_008098
Dctn4	NM_001357462
Ube2n	NM_080560
Sgta	NM_001358549
Tmem158	NM_001002267
Syf2	NM_026780
Dpysl2	NM_001378767
Rab1b	NM_029576
Sh3bgrl3	NM_080559
Psmb6	NM_008946
Osbpl2	NM_144500
Akap6	NM_198111
Rrn3	NM_001039521
Mageh1	NM_023788
Slc25a4	NM_007450
Rab18	NM_001278447
