Gene Name,CpG Count,CpG Percentage
Aacs_dna.fasta,58,2.8727092620108965
Acat1_dna.fasta,37,2.9019607843137254
Atp6v0d1_dna.fasta,23,2.178030303030303
B4gat1_dna.fasta,41,3.2852564102564106
Cacng7_dna.fasta,19,2.2946859903381642
Clns1a_dna.fasta,19,2.6170798898071626
Eif1b_dna.fasta,5,1.461988304093567
Emc2_dna.fasta,27,3.0201342281879198
Etnk1_dna.fasta,20,1.8315018315018317
Fam91a1_dna.fasta,70,2.9424127784783525
Hprt1_dna.fasta,15,2.28310502283105
Lamp1_dna.fasta,31,2.5326797385620914
Mea1_dna.fasta,25,3.8580246913580245
Mfap1b_dna.fasta,65,4.924242424242424
Mrpl41_dna.fasta,8,1.9607843137254901
Mrpl54_dna.fasta,8,1.9607843137254901
Mtcl3_dna.fasta,145,5.109231853417899
Nptx1_dna.fasta,40,3.079291762894534
Nr4a1_dna.fasta,55,3.0454042081949058
Pfn1_dna.fasta,7,1.6548463356973995
Pgam1_dna.fasta,24,3.1372549019607843
Pip4k2b_dna.fasta,30,2.3980815347721824
Polr2g_dna.fasta,9,1.7341040462427744
Ppp6r1_dna.fasta,86,3.3450019447685726
Psmd6_dna.fasta,36,3.076923076923077
Rpl41_dna.fasta,6,7.6923076923076925
Rpsa_dna.fasta,35,3.9414414414414414
Sec62_dna.fasta,31,2.51419302514193
Sesn3_dna.fasta,44,2.974983096686951
Slc8a2_dna.fasta,120,4.366812227074235
Sptssa_dna.fasta,2,0.9259259259259258
Syne1_dna.fasta,347,3.841470164950736
Syngr3_dna.fasta,23,3.3333333333333335
Trnp1_dna.fasta,28,4.166666666666666
Ube3c_dna.fasta,125,3.843788437884379
