Gene Name,CpG Count,CpG Percentage
Acr__a_dna.fasta,38,4.72636815920398
Adcyap1__a_dna.fasta,43,8.143939393939394
Apln__a_dna.fasta,14,5.982905982905983
Btc__a_dna.fasta,26,4.868913857677903
C1ql2__a_dna.fasta,57,6.597222222222222
Calcb__a_dna.fasta,23,5.852417302798982
Cdsn__a_dna.fasta,92,5.456702253855279
Col24a1__a_dna.fasta,170,6.3957863054928525
Col6a2__a_dna.fasta,192,6.852248394004283
Colec10__a_dna.fasta,53,6.3549160671462825
Cpa4__a_dna.fasta,75,5.938242280285035
Cpb1__a_dna.fasta,70,5.6089743589743595
Crisp3__a_dna.fasta,39,5.371900826446281
Crtap__a_dna.fasta,63,5.236907730673317
Cxcl13__a_dna.fasta,19,5.757575757575758
Ecm1__a_dna.fasta,96,5.724508050089446
Erbb3__a_dna.fasta,219,5.447761194029851
F9__a_dna.fasta,68,5.22273425499232
Fndc1__a_dna.fasta,373,6.977179199401422
Gdf2__a_dna.fasta,77,5.982905982905983
Glipr1l1__a_dna.fasta,26,3.6568213783403656
Hamp__a_dna.fasta,11,4.365079365079365
Ifng__a_dna.fasta,24,5.128205128205128
Il19__a_dna.fasta,32,6.0263653483992465
Inha__a_dna.fasta,43,7.026143790849673
Insl6__a_dna.fasta,26,4.513888888888888
Itih3__a_dna.fasta,142,5.318352059925094
Klk10__a_dna.fasta,40,4.778972520908005
Lgals1__a_dna.fasta,23,5.637254901960785
Lgals3__a_dna.fasta,54,6.7924528301886795
Lgi3__a_dna.fasta,104,6.314511232544019
Lyzl6__a_dna.fasta,24,5.369127516778524
Man2b2__a_dna.fasta,178,5.8227019954203465
Ngf__a_dna.fasta,47,6.473829201101928
Nhlrc3__a_dna.fasta,61,5.842911877394636
Nms__a_dna.fasta,22,4.761904761904762
Npnt__a_dna.fasta,107,6.34638196915777
Nrcam__a_dna.fasta,196,5.5040718899185626
Olfm2__a_dna.fasta,81,5.6367432150313155
Olfm4__a_dna.fasta,102,6.307977736549166
Osm__a_dna.fasta,53,6.691919191919192
Pate2__a_dna.fasta,10,2.976190476190476
Pglyrp1__a_dna.fasta,35,6.375227686703097
Pla2g10__a_dna.fasta,26,5.977011494252873
Plau__a_dna.fasta,72,5.529953917050691
Pyy__a_dna.fasta,24,7.920792079207921
Reln__a_dna.fasta,585,5.635838150289017
Rptn__a_dna.fasta,150,4.468275245755138
Serpina11__a_dna.fasta,58,4.538341158059469
Serpina12__a_dna.fasta,58,4.669887278582931
Serpina3c__a_dna.fasta,65,5.18341307814992
Serpina3f__a_dna.fasta,55,4.110612855007474
Serpina3k__a_dna.fasta,58,4.614160700079554
Serpina3m__a_dna.fasta,45,4.143646408839778
Serpina3n__a_dna.fasta,68,5.409705648369132
Serpina5__a_dna.fasta,65,5.336617405582922
Serpina6__a_dna.fasta,61,5.108877721943048
Serpina7__a_dna.fasta,46,3.659506762132061
Serpina9__a_dna.fasta,61,4.852824184566428
Serpind1__a_dna.fasta,71,4.940848990953375
Smoc1__a_dna.fasta,82,5.890804597701149
Spmip8__a_dna.fasta,15,4.761904761904762
Srpx__a_dna.fasta,71,6.21172353455818
Tafa4__a_dna.fasta,20,4.901960784313726
Thpo__a_dna.fasta,58,5.415499533146592
Tsku__a_dna.fasta,67,6.291079812206572
Ucn3__a_dna.fasta,19,3.8383838383838382
Wfdc2__a_dna.fasta,20,5.420054200542006
