SYMBOL	ENSEMBL	GENENAME	REFSEQ
A2ml1	ENSMUSG00000047228	alpha-2-macroglobulin like 1	NM_001001179
Adamts13	ENSMUSG00000014852	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13"	NM_001001322
Spink7	ENSMUSG00000060201	"serine peptidase inhibitor, Kazal type 7 (putative)"	NM_001001803
Penk	ENSMUSG00000045573	preproenkephalin	NM_001002927
Igfl3	ENSMUSG00000066756	IGF-like family member 3	NM_001003393
Masp2	ENSMUSG00000028979	mannan-binding lectin serine peptidase 2	NM_001003893
Adamts7	ENSMUSG00000032363	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7"	NM_001003911
Ces5a	ENSMUSG00000058019	carboxylesterase 5A	NM_001003951
Scube3	ENSMUSG00000038677	"signal peptide, CUB domain, EGF-like 3"	NM_001004366
Clec3a	ENSMUSG00000008874	"C-type lectin domain family 3, member a"	NM_001007223
Cdsn	ENSMUSG00000039518	corneodesmosin	NM_001008424
Il19	ENSMUSG00000016524	interleukin 19	NM_001009940
Nms	ENSMUSG00000067604	neuromedin S	NM_001011684
Rnase13	ENSMUSG00000068392	"ribonuclease, RNase A family, 13 (non-active)"	NM_001011687
Rnase12	ENSMUSG00000068407	"ribonuclease, RNase A family, 12 (non-active)"	NM_001011875
Rnase11	ENSMUSG00000059648	"ribonuclease, RNase A family, 11 (non-active)"	NM_001011877
Ecm2	ENSMUSG00000043631	"extracellular matrix protein 2, female organ and adipocyte specific"	NM_001012324
Mdk	ENSMUSG00000027239	midkine	NM_001012335
Bpifb1	ENSMUSG00000027485	"BPI fold containing family B, member 1"	NM_001012392
Cxcl12	ENSMUSG00000061353	chemokine (C-X-C motif) ligand 12	NM_001012477
Wfdc13	ENSMUSG00000067704	WAP four-disulfide core domain 13	NM_001012704
Dhrs7c	ENSMUSG00000033044	dehydrogenase/reductase (SDR family) member 7C	NM_001013013
Osm	ENSMUSG00000058755	oncostatin M	NM_001013365
Podnl1	ENSMUSG00000012889	podocan-like 1	NM_001013384
Ccl26	ENSMUSG00000070464	chemokine (C-C motif) ligand 26	NM_001013412
Vmo1	ENSMUSG00000020830	vitelline membrane outer layer 1 homolog (chicken)	NM_001013607
Vwde	ENSMUSG00000079679	von Willebrand factor D and EGF domains	NM_001013757
Spink6	ENSMUSG00000055095	"serine peptidase inhibitor, Kazal type 6"	NM_001013797
Abi3bp	ENSMUSG00000035258	ABI family member 3 binding protein	NM_001014399
Otol1	ENSMUSG00000027788	otolin 1	NM_001018031
Adamts15	ENSMUSG00000033453	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15"	NM_001024139
Tsku	ENSMUSG00000049580	"tsukushi, small leucine rich proteoglycan"	NM_001024619
Ifnl2	ENSMUSG00000059128	interferon lambda 2	NM_001024673
Cpa2	ENSMUSG00000071553	"carboxypeptidase A2, pancreatic"	NM_001024698
C1ql4	ENSMUSG00000001076	"complement component 1, q subcomponent-like 4"	NM_001024702
Hmcn1	ENSMUSG00000066842	hemicentin 1	NM_001024720
Cyb5d2	ENSMUSG00000057778	cytochrome b5 domain containing 2	NM_001024926
Vegfa	ENSMUSG00000023951	vascular endothelial growth factor A	NM_001025250
Sema3g	ENSMUSG00000021904	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G"	NM_001025379
Cfhr2	ENSMUSG00000033898	complement factor H-related 2	NM_001025575
Entpd5	ENSMUSG00000021236	ectonucleoside triphosphate diphosphohydrolase 5	NM_001026214
Npnt	ENSMUSG00000040998	nephronectin	NM_001029836
Cfhr4	ENSMUSG00000070594	complement factor H-related 4	NM_001029977
Kcp	ENSMUSG00000059022	kielin/chordin-like protein	NM_001029985
Olfm4	ENSMUSG00000022026	olfactomedin 4	NM_001030294
Krtdap	ENSMUSG00000074199	keratinocyte differentiation associated protein	NM_001033131
Dipk2a	ENSMUSG00000045414	divergent protein kinase domain 2A	NM_001033145
Oosp3	ENSMUSG00000055933	oocyte secreted protein 3	NM_001033283
Sbspon	ENSMUSG00000032719	"somatomedin B and thrombospondin, type 1 domain containing"	NM_001033288
Dhrsx	NA	dehydrogenase/reductase (SDR family) X chromosome	NM_001033326
Mmp25	ENSMUSG00000023903	matrix metallopeptidase 25	NM_001033339
Ntn5	ENSMUSG00000070564	netrin 5	NM_001033356
Gfod1	ENSMUSG00000051335	glucose-fructose oxidoreductase domain containing 1	NM_001033399
Bsph1	ENSMUSG00000074378	binder of sperm protein homolog 1	NM_001033418
Ceacam16	ENSMUSG00000014686	CEA cell adhesion molecule 16	NM_001033419
Pate2	ENSMUSG00000074452	prostate and testis expressed 2	NM_001033421
Lyg2	ENSMUSG00000061584	lysozyme G-like 2	NM_001033427
Lrcol1	ENSMUSG00000072754	leucine rich colipase-like 1	NM_001033459
Ctrc	ENSMUSG00000062478	chymotrypsin C (caldecrin)	NM_001033875
Adamts17	ENSMUSG00000058145	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17"	NM_001033877
Thnsl2	ENSMUSG00000054474	threonine synthase-like 2 (bacterial)	NM_001033929
Calca	ENSMUSG00000030669	"calcitonin/calcitonin-related polypeptide, alpha"	NM_001033954
Ldlrad2	ENSMUSG00000094035	low density lipoprotein receptor class A domain containing 2	NM_001033979
Clpsl2	ENSMUSG00000024224	colipase-like 2	NM_001034871
Bpifb4	ENSMUSG00000074665	"BPI fold containing family B, member 4"	NM_001034875
Spag11b	ENSMUSG00000059463	sperm associated antigen 11B	NM_001034905
Pinlyp	ENSMUSG00000011632	phospholipase A2 inhibitor and LY6/PLAUR domain containing	NM_001037143
Prok2	ENSMUSG00000030069	prokineticin 2	NM_001037539
Oosp2	ENSMUSG00000055895	oocyte secreted protein 2	NM_001037634
Col28a1	ENSMUSG00000068794	"collagen, type XXVIII, alpha 1"	NM_001037865
Nell1	ENSMUSG00000055409	NEL-like 1	NM_001037906
Bglap	ENSMUSG00000074483	bone gamma carboxyglutamate protein	NM_001037939
Edil3	ENSMUSG00000034488	EGF-like repeats and discoidin I-like domains 3	NM_001037987
Arsi	ENSMUSG00000036412	arylsulfatase i	NM_001038499
Mapt	ENSMUSG00000018411	microtubule-associated protein tau	NM_001038609
Olfm1	ENSMUSG00000026833	olfactomedin 1	NM_001038612
Svbp	ENSMUSG00000028643	small vasohibin binding protein	NM_001038711
Klk13	ENSMUSG00000054046	kallikrein related-peptidase 13	NM_001039042
Spink14	ENSMUSG00000051050	"serine peptidase inhibitor, Kazal type 14"	NM_001039218
Vgf	ENSMUSG00000037428	VGF nerve growth factor inducible	NM_001039385
Lif	ENSMUSG00000034394	leukemia inhibitory factor	NM_001039537
Angptl7	ENSMUSG00000028989	angiopoietin-like 7	NM_001039554
Il1rn	ENSMUSG00000026981	interleukin 1 receptor antagonist	NM_001039701
Thsd4	ENSMUSG00000032289	"thrombospondin, type I, domain containing 4"	NM_001040426
C1qtnf5	ENSMUSG00000079592	C1q and tumor necrosis factor related protein 5	NM_001040631
Rspo4	ENSMUSG00000032852	R-spondin 4	NM_001040689
Cp	ENSMUSG00000003617	ceruloplasmin	NM_001042611
Htra3	ENSMUSG00000029096	HtrA serine peptidase 3	NM_001042615
Prss57	ENSMUSG00000020323	"protease, serine 57"	NM_001042710
Proc	ENSMUSG00000024386	protein C	NM_001042767
Sema3b	ENSMUSG00000057969	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"	NM_001042779
Hhipl1	ENSMUSG00000021260	hedgehog interacting protein-like 1	NM_001044380
Prok1	ENSMUSG00000070368	prokineticin 1	NM_001044382
Timp1	ENSMUSG00000001131	tissue inhibitor of metalloproteinase 1	NM_001044384
Mfge8	ENSMUSG00000030605	milk fat globule EGF and factor V/VIII domain containing	NM_001045489
Prss38	ENSMUSG00000049291	"protease, serine 38"	NM_001045521
Tulp2	ENSMUSG00000023467	tubby-like protein 2	NM_001045555
Sirpd	ENSMUSG00000078783	signal regulatory protein delta	NM_001076679
Wfdc8	ENSMUSG00000070533	WAP four-disulfide core domain 8	NM_001080550
Angptl8	ENSMUSG00000047822	angiopoietin-like 8	NM_001080940
Adamts6	ENSMUSG00000046169	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6"	NM_001081020
A1bg	ENSMUSG00000022347	alpha-1-B glycoprotein	NM_001081067
Cytl1	ENSMUSG00000062329	cytokine-like 1	NM_001081106
Adamts14	ENSMUSG00000059901	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14"	NM_001081127
Chsy1	ENSMUSG00000032640	chondroitin sulfate synthase 1	NM_001081163
Lama5	ENSMUSG00000015647	"laminin, alpha 5"	NM_001081171
Spink5	ENSMUSG00000055561	"serine peptidase inhibitor, Kazal type 5"	NM_001081180
Htra4	ENSMUSG00000037406	HtrA serine peptidase 4	NM_001081187
Vcan	ENSMUSG00000021614	versican	NM_001081249
Hpse2	ENSMUSG00000074852	heparanase 2	NM_001081257
Prss53	ENSMUSG00000044139	"protease, serine 53"	NM_001081268
Prss36	ENSMUSG00000070371	"protease, serine 36"	NM_001081374
Prss33	ENSMUSG00000049620	"protease, serine 33"	NM_001081399
Adamts3	ENSMUSG00000043635	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3"	NM_001081401
Fndc1	ENSMUSG00000071984	fibronectin type III domain containing 1	NM_001081416
Fbln2	ENSMUSG00000064080	fibulin 2	NM_001081437
Cartpt	ENSMUSG00000021647	CART prepropeptide	NM_001081493
Slurp2	ENSMUSG00000075605	secreted Ly6/Plaur domain containing 2	NM_001081961
Amelx	ENSMUSG00000031354	"amelogenin, X-linked"	NM_001081978
Pla2g2a	ENSMUSG00000058908	"phospholipase A2, group IIA (platelets, synovial fluid)"	NM_001082531
Lypd8	ENSMUSG00000013643	LY6/PLAUR domain containing 8	NM_001083884
Liph	ENSMUSG00000044626	"lipase, member H"	NM_001083894
Srpx2	ENSMUSG00000031253	"sushi-repeat-containing protein, X-linked 2"	NM_001083895
