Gene Name,CpG Count,CpG Percentage
1110020P15Rik__a_dna.fasta,12,6.779661016949152
Abcc3__a_dna.fasta,240,5.2493438320209975
Ahcy__a_dna.fasta,74,5.696689761354888
Akr1a1__a_dna.fasta,62,6.339468302658487
Apoa2__a_dna.fasta,15,4.854368932038835
Apoc4__a_dna.fasta,23,6.133333333333333
Atp5mf__a_dna.fasta,18,6.741573033707865
Ces1g__a_dna.fasta,96,5.6537102473498235
Cfb__a_dna.fasta,117,5.46218487394958
Cluh__a_dna.fasta,228,5.612998522895126
Commd3__a_dna.fasta,29,4.931972789115646
Cpt2__a_dna.fasta,126,6.373292867981791
Cyp2d10__a_dna.fasta,81,5.346534653465347
Cyp2d22__a_dna.fasta,109,7.252162341982701
Cyp2d26__a_dna.fasta,92,6.121091151031271
Dap__a_dna.fasta,19,6.148867313915858
F12__a_dna.fasta,102,5.68561872909699
Fos__a_dna.fasta,78,6.824146981627297
Galm__a_dna.fasta,59,5.733722060252672
Gch1__a_dna.fasta,44,6.0606060606060606
Ifitm3__a_dna.fasta,26,6.280193236714976
Igfbp4__a_dna.fasta,51,6.666666666666667
Itm2b__a_dna.fasta,36,4.49438202247191
Klkb1__a_dna.fasta,109,5.685967657798644
Ndufb7__a_dna.fasta,27,6.521739130434782
Ndufc2__a_dna.fasta,20,5.5096418732782375
Ndufs6__a_dna.fasta,25,7.122507122507122
Nr1h4__a_dna.fasta,77,5.4035087719298245
Ociad1__a_dna.fasta,33,5.583756345177665
Pdia4__a_dna.fasta,118,5.6190476190476195
Pfdn5__a_dna.fasta,32,5.47008547008547
Rdx__a_dna.fasta,98,5.5936073059360725
Rhoa__a_dna.fasta,32,5.498281786941581
Sc5d__a_dna.fasta,35,3.888888888888889
Sdhd__a_dna.fasta,14,2.9166666666666665
Serpina3k__a_dna.fasta,59,4.6937151949085125
Slc25a22__a_dna.fasta,52,5.349794238683128
Slc6a13__a_dna.fasta,77,4.25649530127142
Snx3__a_dna.fasta,36,7.361963190184049
Spr__a_dna.fasta,46,5.830164765525982
Suox__a_dna.fasta,107,6.520414381474711
Swi5__a_dna.fasta,25,6.830601092896176
Tmem243__a_dna.fasta,25,7.002801120448179
Tram1__a_dna.fasta,55,4.888888888888889
Zfp36__a_dna.fasta,66,6.875000000000001
