Gstk1	NM_029555
Mif	NM_010798
C3	NM_009778
Trf	NM_133977
Pigr	NM_011082
Ddx5	NM_001355676
Aspdh	NM_026690
Uqcrc2	NM_025899
Gpd1	NM_010271
Tomm6	NM_001164729
Srebf1	NM_001313979
Os9	NM_001171026
Ugt2b35	NM_172881
P4hb	NM_011032
Fmo1	NM_001330291
Hsd17b4	NM_008292
Psap	NM_001146120
Cdo1	NM_033037
Iah1	NM_026347
Aup1	NM_001025446
Lap3	NM_024434
Chchd3	NM_001355667
Hes6	NM_001360899
Pxmp2	NM_001405245
Atf4	NM_001287180
Cyb5a	NM_001348159
C4bp	NM_007576
Alb	NM_009654
Mmd	NM_001395423
Mdh2	NM_008617
Cebpa	NM_001287514
Ugt2b36	NM_001029867
Tmem59	NM_029565
Gpt2	NM_173866
Sfxn1	NM_027324
Ech1	NM_016772
Tuba4a	NM_001313723
Atf5	NM_030693
Lman1	NM_001172062
Cyp4v3	NM_133969
Lactb2	NM_145381
Sec31a	NM_001359323
Slc31a1	NM_175090
Ywhae	NM_009536
Azgp1	NM_013478
Glyat	NM_145935
Arl6ip1	NM_019419
Ndufv1	NM_133666
Gamt	NM_001347119
Cisd1	NM_134007
Dazap2	NM_011873
Cox4i1	NM_001293559
Hspb8	NM_030704
Acaa1b	NM_001410625
Oaf	NM_178644
Actb	NM_007393
Glrx5	NM_028419
Tmem150a	NM_144916
Serp1	NM_030685
Pah	NM_008777
Hadha	NM_178878
Cfhr2	NM_001025575
Hmgcs2	NM_008256
Cmbl	NM_181588
Hspa9	NM_010481
Lrp1	NM_008512
Hpx	NM_017371
Rps9	NM_029767
Gpcpd1	NM_001042671
Gc	NM_008096
Rpl41	NM_018860
Asgr2	NM_001313925
Nit2	NM_023175
Maob	NM_172778
Cd81	NM_133655
Slc27a5	NM_009512
Ak3	NM_001365071
Sar1b	NM_025535
Ctsh	NM_001312649
B2m	NM_009735
Smdt1	NM_026914
Epas1	NM_010137
Bst2	NM_198095
Cd164	NM_016898
Aplp2	NM_001102455
Habp2	NM_001329935
Ebp	NM_007898
Baat	NM_007519
Hspd1	NM_001356512
Got2	NM_010325
Eef1a1	NM_010106
Acly	NM_001199296
Acadvl	NM_017366
Arpc3	NM_019824
Ndufs2	NM_153064
Rgs16	NM_011267
Got1	NM_010324
Tcea3	NM_011542
9530068E07Rik	NM_153117
Osgin1	NM_027950
Ppp1ca	NM_031868
Itih1	NM_001306078
Wbp1l	NM_001177812
Mknk2	NM_021462
Aqp9	NM_001271843
