Gene Name,CpG Count,CpG Percentage
1110020P15Rik_dna.fasta,6,3.389830508474576
Abcc3_dna.fasta,159,3.477690288713911
Ahcy_dna.fasta,38,2.9253271747498073
Akr1a1_dna.fasta,22,2.2494887525562373
Apoa2_dna.fasta,3,0.9708737864077669
Apoc4_dna.fasta,10,2.666666666666667
Atp5mf_dna.fasta,4,1.4981273408239701
Ces1g_dna.fasta,44,2.5912838633686692
Cfb_dna.fasta,69,3.221288515406162
Cluh_dna.fasta,149,3.668143771541113
Commd3_dna.fasta,10,1.7006802721088436
Cpt2_dna.fasta,54,2.731411229135053
Cyp2d10_dna.fasta,43,2.838283828382838
Cyp2d22_dna.fasta,47,3.1270791749833666
Cyp2d26_dna.fasta,52,3.4597471723220226
Dap_dna.fasta,6,1.9417475728155338
F12_dna.fasta,53,2.954292084726867
Fos_dna.fasta,33,2.8871391076115485
Galm_dna.fasta,29,2.818270165208941
Gch1_dna.fasta,22,3.0303030303030303
Ifitm3_dna.fasta,8,1.932367149758454
Igfbp4_dna.fasta,22,2.8758169934640523
Itm2b_dna.fasta,22,2.746566791510612
Klkb1_dna.fasta,49,2.556077203964528
Ndufb7_dna.fasta,11,2.657004830917874
Ndufc2_dna.fasta,8,2.203856749311295
Ndufs6_dna.fasta,12,3.418803418803419
Nr1h4_dna.fasta,43,3.017543859649123
Ociad1_dna.fasta,14,2.3688663282571913
Pdia4_dna.fasta,87,4.142857142857142
Pfdn5_dna.fasta,9,1.5384615384615385
Rdx_dna.fasta,59,3.3675799086757987
Rhoa_dna.fasta,13,2.2336769759450172
Sc5d_dna.fasta,17,1.8888888888888888
Sdhd_dna.fasta,10,2.083333333333333
Serpina3k_dna.fasta,30,2.386634844868735
Slc25a22_dna.fasta,30,3.0864197530864197
Slc6a13_dna.fasta,47,2.59812050856827
Snx3_dna.fasta,12,2.4539877300613497
Spr_dna.fasta,25,3.1685678073510775
Suox_dna.fasta,53,3.2297379646556976
Swi5_dna.fasta,6,1.639344262295082
Tmem243_dna.fasta,6,1.680672268907563
Tram1_dna.fasta,27,2.4
Zfp36_dna.fasta,33,3.4375000000000004
