Gene Name,CpG Count,CpG Percentage
1110020P15Rik.fasta,4,2.2598870056497176
Abcc3.fasta,37,0.8092738407699038
Ahcy.fasta,15,1.1547344110854503
Akr1a1.fasta,14,1.4314928425357873
Apoa2.fasta,1,0.3236245954692557
Apoc4.fasta,6,1.6
Atp5mf.fasta,3,1.1235955056179776
Ces1g.fasta,18,1.0600706713780919
Cfb.fasta,28,1.3071895424836601
Cluh.fasta,46,1.1324470704086658
Commd3.fasta,7,1.1904761904761905
Cpt2.fasta,35,1.7703591299949417
Cyp2d10.fasta,16,1.056105610561056
Cyp2d22.fasta,16,1.0645375914836992
Cyp2d26.fasta,15,0.998003992015968
Dap.fasta,5,1.6181229773462782
F12.fasta,17,0.947603121516165
Fos.fasta,12,1.0498687664041995
Galm.fasta,10,0.9718172983479106
Gch1.fasta,11,1.5151515151515151
Ifitm3.fasta,4,0.966183574879227
Igfbp4.fasta,12,1.5686274509803921
Itm2b.fasta,5,0.6242197253433208
Klkb1.fasta,11,0.5738132498695879
Ndufb7.fasta,5,1.2077294685990339
Ndufc2.fasta,5,1.3774104683195594
Ndufs6.fasta,6,1.7094017094017095
Nr1h4.fasta,13,0.9122807017543859
Ociad1.fasta,6,1.015228426395939
Pdia4.fasta,8,0.38095238095238093
Pfdn5.fasta,2,0.3418803418803419
Rdx.fasta,16,0.91324200913242
Rhoa.fasta,6,1.0309278350515463
Sc5d.fasta,6,0.6666666666666667
Sdhd.fasta,10,2.083333333333333
Serpina3k.fasta,8,0.6364359586316627
Slc25a22.fasta,10,1.02880658436214
Slc6a13.fasta,8,0.44223327805417356
Snx3.fasta,7,1.4314928425357873
Spr.fasta,11,1.394169835234474
Suox.fasta,31,1.8890920170627667
Swi5.fasta,4,1.092896174863388
Tmem243.fasta,5,1.400560224089636
Tram1.fasta,8,0.7111111111111111
Zfp36.fasta,18,1.875
