Nfix	NM_001081981
Nbr1	NM_001252220
Agpat3	NM_001404870
Txndc5	NM_001289598
Eif4b	NM_145625
Scarb1	NM_001205082
Sdc2	NM_008304
Cat	NM_009804
Epn1	NM_001252454
Igf1	NM_001111274
Bsg	NM_001077184
Iqgap2	NM_027711
Rplp0	NM_007475
D8Ertd738e	NM_001007571
Pgrmc1	NM_016783
Serpina10	NM_001301404
Acaa2	NM_177470
Xbp1	NM_001271730
Adh4	NM_011996
Acsl5	NM_027976
A1cf	NM_001081074
Hp	NM_001329965
Apof	NM_133997
Pklr	NM_001099779
C6	NM_016704
Ang	NM_001161731
Rad23b	NM_009011
Psma6	NM_001310583
Fkbp4	NM_010219
Cox7b	NM_025379
Pdia3	NM_007952
Glo1	NM_001113560
Scp2	NM_011327
Copz1	NM_001357748
Plk3	NM_001313916
Inmt	NM_009349
Lamp1	NM_001317353
Sdc1	NM_011519
Sucla2	NM_001361638
Aldh8a1	NM_178713
Ugp2	NM_001290634
Chmp2a	NM_001360730
Clu	NM_013492
Cox5b	NM_009942
Fam120a	NM_001033268
Mpst	NM_001162492
Hao1	NM_010403
Acadsb	NM_025826
Comt	NM_001111062
Selenow	NM_009156
Aldh9a1	NM_001402830
Atp5c1	NM_001112738
Cth	NM_145953
Hdgf	NM_001331051
Myl12b	NM_023402
Rgn	NM_009060
Cpb2	NM_019775
Psmb1	NM_011185
Hsd17b11	NM_053262
Slc25a15	NM_001358971
Hoga1	NM_026152
C1s1	NM_001097617
Eif3h	NM_080635
Laptm4a	NM_008640
Pecr	NM_001356516
Gpx1	NM_001329527
Psmb2	NM_011970
F2	NM_010168
Col18a1	NM_001109991
Bdh1	NM_001122683
Ces1f	NM_144930
Txn1	NM_011660
Eif4g2	NM_001040131
Ivd	NM_001416219
Kdelr2	NM_025841
Cyp1a2	NM_009993
Rack1	NM_008143
Hsp90b1	NM_011631
Gm2a	NM_010299
Gulo	NM_178747
Tcn2	NM_001130458
Bphl	NM_026512
Tspan31	NM_025982
Urah	NM_001347605
Srd5a1	NM_175283
4931406C07Rik	NM_001199484
